AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2026-04-01,0.800,0.880,0.840,0.810
2026-04-02,0.750,0.850,0.940,0.950
2026-04-03,0.850,0.900,0.850,0.950
2026-04-04,0.990,0.790,0.800,0.780
2026-04-05,1.270,1.200,1.220,1.330
2026-04-06,0.790,0.900,0.880,0.000
