AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-05-25,0.460,0.450,0.470,0.500
2017-05-26,0.530,0.510,0.490,0.530
2017-05-27,0.650,0.640,0.610,0.580
2017-05-28,0.710,0.650,0.620,0.570
2017-05-29,0.620,0.630,0.640,0.640
2017-05-30,0.540,0.500,0.480,0.470
2017-05-31,0.440,0.430,0.430,0.390
