AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2026-04-01,1.400,1.380,1.380,1.380
2026-04-02,1.360,1.360,1.400,1.400
2026-04-03,1.400,1.440,1.550,1.620
2026-04-04,1.450,1.450,1.420,1.400
2026-04-05,1.400,1.400,1.370,1.360
2026-04-06,1.480,1.490,1.440,1.390
2026-04-07,1.340,1.340,0.000,0.000
