Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/05/01,00:00,23.4,0.1,93,78,1.3
2019/05/01,01:00,24.0,0.0,93,67,0.1
2019/05/01,02:00,24.1,0.0,94,253,1.0
2019/05/01,03:00,23.5,0.0,94,139,0.0
2019/05/01,04:00,23.6,0.0,95,347,0.0
2019/05/01,05:00,23.5,0.0,95,217,0.7
2019/05/01,06:00,23.7,0.0,95,353,0.0
2019/05/01,07:00,24.0,0.0,96,47,1.5
2019/05/01,08:00,25.8,0.0,96,22,2.4
2019/05/01,09:00,26.4,0.0,96,16,2.5
2019/05/01,10:00,27.0,0.0,95,43,2.2
2019/05/01,11:00,27.7,0.0,94,298,1.9
2019/05/01,12:00,28.9,0.0,93,348,1.4
2019/05/01,13:00,30.0,0.0,91,353,1.4
2019/05/01,14:00,30.9,0.0,88,28,2.2
2019/05/01,15:00,31.3,0.0,84,30,3.1
2019/05/01,16:00,28.2,0.0,81,20,2.2
2019/05/01,17:00,26.7,0.0,82,41,1.0
2019/05/01,18:00,25.7,0.0,83,209,1.1
2019/05/01,19:00,24.7,0.0,84,245,0.6
2019/05/01,20:00,24.3,0.0,86,346,1.4
2019/05/01,21:00,24.1,0.0,88,174,0.0
2019/05/01,22:00,23.9,0.0,89,82,0.8
2019/05/01,23:00,23.7,0.0,90,211,0.5
2019/05/02,00:00,23.8,0.0,91,75,0.0
2019/05/02,01:00,23.8,0.4,92,78,0.6
2019/05/02,02:00,23.8,0.0,93,50,1.5
2019/05/02,03:00,23.8,0.0,93,46,1.4
2019/05/02,04:00,23.8,0.0,94,32,0.2
2019/05/02,05:00,23.6,0.0,94,300,0.2
2019/05/02,06:00,23.3,0.1,95,232,0.0
2019/05/02,07:00,23.6,0.0,95,218,1.0
2019/05/02,08:00,24.9,0.0,95,220,0.9
2019/05/02,09:00,26.1,0.0,95,252,1.4
2019/05/02,10:00,27.6,0.0,95,234,1.0
