Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/04/01,00:00,24.0,0.0,91,104,0.2
2019/04/01,01:00,23.9,0.0,92,109,0.0
2019/04/01,02:00,24.0,0.0,93,41,0.0
2019/04/01,03:00,23.8,0.0,93,229,0.0
2019/04/01,04:00,23.8,0.0,94,179,0.0
2019/04/01,05:00,23.3,0.0,94,66,0.3
2019/04/01,06:00,23.1,0.0,95,357,0.0
2019/04/01,07:00,23.8,0.0,95,141,0.0
2019/04/01,08:00,26.3,0.0,95,291,0.8
2019/04/01,09:00,28.3,0.0,95,277,1.6
2019/04/01,10:00,29.7,0.0,94,285,1.8
2019/04/01,11:00,31.3,0.0,92,287,1.7
2019/04/01,12:00,32.0,0.0,88,351,2.4
2019/04/01,13:00,32.6,0.0,84,281,2.1
2019/04/01,14:00,32.7,0.0,78,23,0.9
2019/04/01,15:00,32.4,0.0,74,356,3.4
2019/04/01,16:00,30.5,0.0,73,16,2.9
2019/04/01,17:00,29.3,0.0,75,41,1.8
2019/04/01,18:00,27.6,0.0,78,58,1.4
2019/04/01,19:00,26.5,0.0,81,126,0.0
2019/04/01,20:00,25.9,0.0,84,97,0.0
2019/04/01,21:00,25.5,0.0,86,78,0.5
2019/04/01,22:00,25.1,0.0,87,78,0.0
2019/04/01,23:00,25.1,0.0,89,61,0.4
2019/04/02,00:00,25.3,0.0,90,212,0.0
2019/04/02,01:00,25.2,0.0,91,51,0.2
2019/04/02,02:00,25.2,0.0,92,182,0.0
2019/04/02,03:00,25.3,0.1,92,71,1.1
2019/04/02,04:00,24.8,8.5,93,222,1.6
2019/04/02,05:00,24.2,0.2,93,212,0.6
2019/04/02,06:00,24.2,0.7,94,8,0.0
2019/04/02,07:00,24.5,0.0,94,349,0.7
2019/04/02,08:00,25.3,0.1,95,11,0.5
2019/04/02,09:00,26.4,0.0,95,309,1.9
2019/04/02,10:00,26.8,2.2,95,304,2.1
