Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/01/01,00:00,23.0,S/D,98,210,0.0
2021/01/01,01:00,22.6,S/D,99,198,0.0
2021/01/01,02:00,22.6,S/D,99,210,0.0
2021/01/01,03:00,22.4,S/D,99,176,0.0
2021/01/01,04:00,22.3,S/D,99,236,0.0
2021/01/01,05:00,22.3,S/D,99,127,0.0
2021/01/01,06:00,22.3,S/D,99,17,0.0
2021/01/01,07:00,22.9,S/D,98,84,0.0
2021/01/01,08:00,24.0,S/D,93,42,0.0
2021/01/01,09:00,25.3,S/D,88,55,0.0
2021/01/01,10:00,24.7,S/D,91,24,0.0
2021/01/01,11:00,23.8,S/D,97,26,0.0
2021/01/01,12:00,24.4,S/D,96,24,0.0
2021/01/01,13:00,25.0,S/D,91,21,0.0
2021/01/01,14:00,26.4,S/D,85,355,0.0
2021/01/01,15:00,27.6,S/D,77,103,0.0
2021/01/01,16:00,28.3,S/D,74,276,0.0
2021/01/01,17:00,28.3,S/D,74,224,0.0
2021/01/01,18:00,27.6,S/D,76,276,0.0
2021/01/01,19:00,27.6,S/D,76,276,0.0
2021/01/01,20:00,23.3,S/D,98,189,0.0
2021/01/01,21:00,22.9,S/D,98,201,0.0
2021/01/01,22:00,22.4,S/D,99,112,0.0
2021/01/01,23:00,22.1,S/D,99,154,0.0
2021/01/02,00:00,21.9,S/D,99,119,0.0
2021/01/02,01:00,21.9,S/D,99,189,0.0
2021/01/02,02:00,21.9,S/D,99,108,0.0
2021/01/02,03:00,22.1,S/D,100,130,0.0
2021/01/02,04:00,22.0,S/D,99,134,0.0
2021/01/02,05:00,21.8,S/D,100,133,0.0
2021/01/02,06:00,21.6,S/D,100,313,0.0
2021/01/02,07:00,22.5,S/D,100,321,0.0
2021/01/02,08:00,24.0,S/D,96,257,0.0
2021/01/02,09:00,26.6,S/D,86,240,0.0
2021/01/02,10:00,28.7,S/D,78,289,0.0
