Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/07/01,00:00,21.6,0.0,86,89,1.0
2019/07/01,01:00,21.4,0.0,87,21,0.0
2019/07/01,02:00,21.1,0.0,89,83,0.0
2019/07/01,03:00,21.0,0.0,90,158,0.0
2019/07/01,04:00,21.0,0.0,91,162,0.0
2019/07/01,05:00,20.8,0.0,91,101,0.0
2019/07/01,06:00,20.6,0.0,92,101,0.0
2019/07/01,07:00,20.8,0.0,93,94,0.0
2019/07/01,08:00,23.8,0.0,93,345,0.0
2019/07/01,09:00,28.0,0.0,93,1,0.6
2019/07/01,10:00,30.2,0.0,92,32,1.7
2019/07/01,11:00,31.9,0.0,89,325,1.6
2019/07/01,12:00,32.6,0.0,82,343,2.9
2019/07/01,13:00,32.9,0.0,75,340,1.7
2019/07/01,14:00,33.0,0.0,67,25,1.7
2019/07/01,15:00,33.4,0.0,61,327,1.3
2019/07/01,16:00,33.3,0.0,57,38,0.2
2019/07/01,17:00,32.2,0.0,55,87,0.4
2019/07/01,18:00,29.0,0.0,58,130,0.7
2019/07/01,19:00,25.5,0.0,67,60,0.0
2019/07/01,20:00,24.2,0.0,74,155,0.0
2019/07/01,21:00,23.3,0.0,78,277,0.0
2019/07/01,22:00,22.5,0.0,82,184,0.0
2019/07/01,23:00,22.0,0.0,84,159,0.0
2019/07/02,00:00,21.5,0.0,86,96,0.0
2019/07/02,01:00,21.2,0.0,87,212,0.0
2019/07/02,02:00,20.8,0.0,89,154,0.0
2019/07/02,03:00,20.6,0.0,90,176,0.0
2019/07/02,04:00,20.4,0.0,90,81,0.0
2019/07/02,05:00,20.5,0.0,91,120,0.0
2019/07/02,06:00,20.0,0.0,92,330,0.0
2019/07/02,07:00,20.4,0.0,93,93,0.0
2019/07/02,08:00,24.2,0.0,93,6,0.1
2019/07/02,09:00,27.4,0.0,93,315,1.5
2019/07/02,10:00,30.1,0.0,92,303,2.2
