Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/12/01,00:00,23.5,0.0,98,79,0.0
2020/12/01,01:00,23.7,0.1,98,69,0.0
2020/12/01,02:00,23.5,0.0,98,34,0.0
2020/12/01,03:00,23.3,0.0,98,50,0.0
2020/12/01,04:00,23.2,0.0,98,26,0.0
2020/12/01,05:00,23.3,0.0,98,3,0.0
2020/12/01,06:00,23.5,0.0,99,49,0.0
2020/12/01,07:00,24.3,0.0,97,27,0.0
2020/12/01,08:00,25.5,0.0,92,332,0.0
2020/12/01,09:00,26.3,0.0,88,335,0.0
2020/12/01,10:00,27.0,0.0,86,356,0.0
2020/12/01,11:00,27.8,0.0,83,28,0.0
2020/12/01,12:00,28.9,0.0,80,2,0.0
2020/12/01,13:00,29.7,0.1,74,257,0.0
2020/12/01,14:00,24.3,1.7,91,240,0.0
2020/12/01,15:00,23.9,0.2,94,205,0.0
2020/12/01,16:00,24.4,0.0,93,359,0.0
2020/12/01,17:00,24.5,0.1,94,70,0.0
2020/12/01,18:00,24.2,0.0,96,107,0.0
2020/12/01,19:00,24.2,0.0,96,107,0.0
2020/12/01,20:00,23.5,0.0,98,36,0.0
2020/12/01,21:00,23.4,0.0,98,16,0.0
2020/12/01,22:00,23.4,0.0,98,258,0.0
2020/12/01,23:00,23.4,0.0,98,298,0.0
2020/12/02,00:00,23.4,0.0,99,249,0.0
2020/12/02,01:00,23.6,0.0,98,91,0.0
2020/12/02,02:00,23.5,0.0,98,271,0.0
2020/12/02,03:00,23.4,0.0,99,237,0.0
2020/12/02,04:00,23.5,0.0,99,306,0.0
2020/12/02,05:00,23.6,0.0,98,32,0.0
2020/12/02,06:00,23.5,0.0,99,350,0.0
2020/12/02,07:00,24.1,0.0,97,4,0.0
2020/12/02,08:00,25.2,0.0,91,37,0.0
2020/12/02,09:00,26.5,0.0,87,42,0.0
2020/12/02,10:00,28.2,0.0,79,20,0.0
