Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/09/01,00:00,23.7,0.0,78,47,0.0
2019/09/01,01:00,23.4,0.0,81,70,0.0
2019/09/01,02:00,22.8,0.0,83,121,0.0
2019/09/01,03:00,22.7,0.0,85,218,0.8
2019/09/01,04:00,22.2,0.0,86,108,0.4
2019/09/01,05:00,21.6,0.0,87,176,0.0
2019/09/01,06:00,21.2,0.0,88,179,0.0
2019/09/01,07:00,22.2,0.0,89,198,0.0
2019/09/01,08:00,26.3,0.0,90,257,1.2
2019/09/01,09:00,29.1,0.0,89,206,0.8
2019/09/01,10:00,32.0,0.0,85,191,1.1
2019/09/01,11:00,34.1,0.0,77,304,1.7
2019/09/01,12:00,35.4,0.0,66,244,2.0
2019/09/01,13:00,34.7,0.0,56,279,4.9
2019/09/01,14:00,31.4,0.0,52,253,2.4
2019/09/01,15:00,28.9,0.0,55,205,1.5
2019/09/01,16:00,28.4,0.0,61,247,2.4
2019/09/01,17:00,27.3,0.0,64,219,0.0
2019/09/01,18:00,25.8,0.0,67,30,0.8
2019/09/01,19:00,24.5,0.0,71,133,0.1
2019/09/01,20:00,23.6,0.0,75,204,0.2
2019/09/01,21:00,23.2,0.0,78,148,0.0
2019/09/01,22:00,22.7,0.0,80,269,0.0
2019/09/01,23:00,22.3,0.0,83,299,0.5
2019/09/02,00:00,22.0,0.0,84,139,0.0
2019/09/02,01:00,21.6,0.0,86,103,0.0
2019/09/02,02:00,21.2,0.0,87,81,0.0
2019/09/02,03:00,20.9,0.0,88,172,0.7
2019/09/02,04:00,20.7,0.0,89,190,0.0
2019/09/02,05:00,20.8,0.0,90,344,0.7
2019/09/02,06:00,20.8,0.0,91,85,1.0
2019/09/02,07:00,21.3,0.0,92,225,0.3
2019/09/02,08:00,22.5,0.0,92,209,0.4
2019/09/02,09:00,26.9,0.0,92,102,1.6
2019/09/02,10:00,28.1,0.0,91,93,0.9
