Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/02/01,00:00,23.6,S/D,100,130,0.0
2021/02/01,01:00,23.4,S/D,99,18,0.0
2021/02/01,02:00,23.3,S/D,100,39,0.0
2021/02/01,03:00,23.4,S/D,100,193,0.0
2021/02/01,04:00,23.1,S/D,100,105,0.0
2021/02/01,05:00,23.0,S/D,100,39,0.0
2021/02/01,06:00,22.7,S/D,100,77,0.0
2021/02/01,07:00,23.1,S/D,100,51,0.0
2021/02/01,08:00,24.8,S/D,96,352,0.0
2021/02/01,09:00,26.6,S/D,88,309,0.0
2021/02/01,10:00,28.2,S/D,80,10,1.1
2021/02/01,11:00,30.0,S/D,72,350,1.0
2021/02/01,12:00,30.7,S/D,68,263,1.7
2021/02/01,13:00,31.1,S/D,67,311,0.9
2021/02/01,14:00,31.6,S/D,65,343,0.0
2021/02/01,15:00,30.3,S/D,71,5,5.1
2021/02/01,16:00,26.3,S/D,89,348,0.3
2021/02/01,17:00,28.6,S/D,78,6,0.0
2021/02/01,18:00,28.9,S/D,76,209,0.0
2021/02/01,19:00,26.3,S/D,91,176,0.0
2021/02/01,20:00,25.1,S/D,97,120,0.0
2021/02/01,21:00,24.4,S/D,98,39,0.0
2021/02/01,22:00,24.1,S/D,99,132,0.0
2021/02/01,23:00,24.0,S/D,99,24,0.0
2021/02/02,00:00,24.0,S/D,99,82,0.0
2021/02/02,01:00,23.7,S/D,99,38,0.0
2021/02/02,02:00,23.5,S/D,99,132,0.0
2021/02/02,03:00,23.1,S/D,99,92,0.0
2021/02/02,04:00,22.9,S/D,99,254,0.0
2021/02/02,05:00,22.7,S/D,99,92,0.0
2021/02/02,06:00,22.9,S/D,100,281,0.0
2021/02/02,07:00,23.7,S/D,100,48,0.0
2021/02/02,08:00,25.1,S/D,95,344,0.3
2021/02/02,09:00,27.0,S/D,87,329,3.0
2021/02/02,10:00,28.0,S/D,81,322,2.0
