Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/08/01,00:00,19.5,0.0,81,125,0.0
2019/08/01,01:00,18.9,0.0,83,210,0.7
2019/08/01,02:00,18.4,0.0,85,136,0.0
2019/08/01,03:00,17.9,0.0,86,136,0.0
2019/08/01,04:00,17.7,0.0,87,176,0.0
2019/08/01,05:00,17.3,0.0,88,171,0.0
2019/08/01,06:00,17.0,0.0,89,182,0.0
2019/08/01,07:00,17.8,0.0,90,149,0.0
2019/08/01,08:00,22.6,0.0,91,138,0.0
2019/08/01,09:00,26.9,0.0,91,236,0.9
2019/08/01,10:00,29.9,0.0,89,284,0.6
2019/08/01,11:00,32.1,0.0,82,352,1.5
2019/08/01,12:00,33.6,0.0,71,337,1.4
2019/08/01,13:00,33.8,0.0,60,259,1.8
2019/08/01,14:00,34.2,0.0,53,15,1.7
2019/08/01,15:00,34.5,0.0,48,2,2.6
2019/08/01,16:00,33.4,0.0,45,18,1.3
2019/08/01,17:00,32.9,0.0,45,31,1.4
2019/08/01,18:00,30.3,0.0,47,95,0.0
2019/08/01,19:00,25.5,0.0,56,81,0.3
2019/08/01,20:00,23.7,0.0,65,133,0.0
2019/08/01,21:00,22.6,0.0,71,75,0.0
2019/08/01,22:00,21.6,0.0,75,123,0.0
2019/08/01,23:00,20.9,0.0,79,141,0.0
2019/08/02,00:00,20.3,0.0,81,209,0.0
2019/08/02,01:00,19.8,0.0,83,99,0.0
2019/08/02,02:00,19.3,0.0,85,141,0.0
2019/08/02,03:00,18.9,0.0,86,174,0.0
2019/08/02,04:00,18.7,0.0,87,210,0.0
2019/08/02,05:00,18.2,0.0,88,181,0.0
2019/08/02,06:00,17.7,0.0,89,132,0.0
2019/08/02,07:00,18.2,0.0,90,197,0.0
2019/08/02,08:00,23.2,0.0,91,215,0.0
2019/08/02,09:00,28.0,0.0,91,332,1.2
2019/08/02,10:00,30.6,0.0,88,303,1.3
