Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : PUERTO ESPERANZA
,Departamento :,UCAYALI,Provincia :,PURUS,Distrito :,PURUS
,Latitud :,9°46'14.98'',Longitud :,70°42'23.97'',Altitud :,237 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E87066
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/11/01,17:00,30.4,0.0,50,139,0.0
2020/11/01,18:00,28.2,0.0,61,132,0.0
2020/11/01,19:00,28.2,0.0,61,132,0.0
2020/11/01,20:00,25.0,0.0,84,78,0.0
2020/11/01,21:00,24.3,0.0,88,125,0.0
2020/11/01,22:00,23.0,0.0,91,173,0.0
2020/11/01,23:00,21.9,0.0,95,213,0.0
2020/11/02,00:00,21.2,0.0,96,213,0.0
2020/11/02,01:00,21.1,0.0,97,232,0.0
2020/11/02,02:00,21.8,0.0,96,236,0.0
2020/11/02,03:00,22.2,0.0,96,242,0.0
2020/11/02,04:00,22.1,0.0,96,159,0.0
2020/11/02,05:00,22.2,0.0,96,83,0.0
2020/11/02,06:00,22.0,0.0,96,173,0.0
2020/11/02,07:00,22.8,0.0,95,7,0.0
2020/11/02,08:00,24.3,0.0,90,246,0.0
2020/11/02,09:00,26.7,0.0,76,226,0.0
2020/11/02,10:00,28.5,0.0,69,236,0.0
2020/11/02,11:00,29.5,0.0,64,260,0.0
2020/11/02,12:00,31.9,0.0,57,176,0.0
2020/11/02,13:00,32.8,0.0,49,181,0.0
2020/11/02,14:00,32.1,0.0,51,177,0.0
2020/11/02,15:00,32.2,0.0,50,192,0.0
2020/11/02,16:00,32.3,0.0,47,150,0.0
2020/11/02,17:00,31.3,0.0,48,184,0.0
2020/11/02,18:00,27.3,0.0,71,129,0.0
2020/11/02,19:00,27.3,0.0,71,129,0.0
2020/11/02,20:00,23.5,0.0,90,82,0.0
2020/11/02,21:00,22.5,0.0,93,79,0.0
2020/11/02,22:00,21.8,0.0,95,85,0.0
2020/11/02,23:00,21.3,0.0,96,89,0.0
2020/11/03,00:00,20.9,0.0,97,224,0.0
2020/11/03,01:00,20.8,0.0,97,131,0.0
2020/11/03,02:00,20.2,0.0,98,55,0.0
2020/11/03,03:00,20.1,0.0,98,175,0.0
