Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : TIMICURILLO
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
,Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
,Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2017-03-01,9.98,9.99,10.01,10.03
2017-03-02,10.06,10.07,10.07,10.08
2017-03-03,10.09,10.10,10.11,10.12
2017-03-04,10.15,10.16,10.17,10.18
2017-03-05,10.23,10.24,10.26,10.27
2017-03-06,10.31,10.32,10.34,10.35
2017-03-07,10.40,10.41,10.42,10.44
2017-03-08,10.49,10.49,10.50,10.50
2017-03-09,10.53,10.54,10.55,10.56
2017-03-10,10.59,10.59,10.60,10.61
2017-03-11,10.64,10.66,10.68,10.71
2017-03-12,10.78,10.81,10.84,10.87
2017-03-13,10.94,10.94,10.95,10.96
2017-03-14,10.97,10.98,10.98,10.99
2017-03-15,11.02,11.03,11.04,11.04
2017-03-16,11.06,11.07,11.07,11.08
2017-03-17,11.10,11.11,11.12,11.13
2017-03-18,11.15,11.16,11.16,11.17
2017-03-19,11.19,11.20,11.20,11.21
2017-03-20,11.22,11.22,11.23,11.23
2017-03-21,11.24,11.24,11.24,11.24
2017-03-22,11.24,11.25,11.26,11.27
2017-03-23,11.29,11.29,11.29,11.30
2017-03-24,11.31,11.31,11.32,11.32
2017-03-25,11.33,11.33,11.34,11.34
2017-03-26,11.35,11.36,11.36,11.37
2017-03-27,11.39,11.39,11.40,11.40
2017-03-28,11.42,11.43,11.44,11.44
2017-03-29,11.45,11.45,11.45,11.46
2017-03-30,11.47,11.47,11.48,11.48
2017-03-31,11.49,11.49,11.50,11.50
