Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : MANITI
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
,Latitud :,3°31'13.09'',Longitud :,72°50'27.13'',Altitud :,125 msnm.
,Tipo :,PE - Meteorológica,Código :,103009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-11-01,31.2,23.2,84.7,0.0
2019-11-02,33.4,23.4,84.1,0.0
2019-11-03,33,21.8,87.9,0.0
2019-11-04,28.2,21.2,92.0,75.0
2019-11-05,34.2,20.8,83.6,0.0
2019-11-06,31.4,23.8,85.5,16.0
2019-11-07,30.8,23,84.5,0.0
2019-11-08,32.2,23.4,84.0,0.0
2019-11-09,34.2,23.2,84.1,0.0
2019-11-10,32.4,23,84.5,0.0
2019-11-11,32.8,22.6,81.2,0.0
2019-11-12,30.8,23.4,86.9,3.5
2019-11-13,33.4,22.8,79.0,0.0
2019-11-14,33.4,23,85.8,2.5
2019-11-15,30.2,22.8,86.8,114.0
2019-11-16,26.6,21.6,95.2,0.0
2019-11-17,32.2,22,83.4,0.0
2019-11-18,35.2,21,78.5,0.0
2019-11-19,27.4,S/D,S/D,25.0
2019-11-20,31,22.4,87.0,7.0
2019-11-21,33.4,23.8,84.6,22.0
2019-11-22,29,24,96.8,40.0
2019-11-23,25.4,S/D,S/D,42.0
2019-11-24,24.8,21.4,S/D,48.0
2019-11-25,31.4,21.2,85.3,0.0
2019-11-26,29.8,23,91.8,5.0
2019-11-27,32.6,22.8,82.7,5.0
2019-11-28,32.8,22.6,82.7,15.0
2019-11-29,33.6,22.8,80.9,0.0
2019-11-30,33.2,23.4,83.4,0.0
