Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SALVACION
,Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
,Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/04/01,00:00,22.5,0.0,94,112,1.3
2020/04/01,01:00,22.3,0.0,94,194,0.3
2020/04/01,02:00,21.6,0.0,96,163,1.1
2020/04/01,03:00,21.8,0.0,96,145,1.3
2020/04/01,04:00,21.8,0.0,95,5,0.8
2020/04/01,05:00,21.2,0.0,97,34,0.3
2020/04/01,06:00,21.2,0.0,98,151,1.3
2020/04/01,07:00,21.9,0.0,96,129,2.0
2020/04/01,08:00,23.8,0.0,90,148,1.7
2020/04/01,09:00,26.3,0.0,84,133,1.6
2020/04/01,10:00,28.4,0.0,76,358,1.6
2020/04/01,11:00,29.2,0.0,77,314,2.0
2020/04/01,12:00,30.6,0.0,72,305,1.8
2020/04/01,13:00,31.7,0.0,66,345,1.9
2020/04/01,14:00,31.7,0.0,64,46,1.1
2020/04/01,15:00,29.7,0.0,69,169,1.7
2020/04/01,16:00,24.2,0.0,89,109,1.7
2020/04/01,17:00,24.8,0.0,89,130,0.8
2020/04/01,18:00,23.8,0.0,92,103,1.1
2020/04/01,19:00,23.1,0.0,95,288,0.1
2020/04/01,20:00,22.5,0.0,96,235,0.2
2020/04/01,21:00,22.0,0.0,97,97,0.5
2020/04/01,22:00,22.4,0.0,96,133,1.5
2020/04/01,23:00,22.5,0.0,94,53,0.3
2020/04/02,00:00,21.5,0.0,97,169,0.8
2020/04/02,01:00,21.5,0.0,97,141,1.3
2020/04/02,02:00,22.2,0.0,95,148,1.5
2020/04/02,03:00,22.0,0.0,94,157,1.1
2020/04/02,04:00,21.8,0.0,94,151,0.5
2020/04/02,05:00,21.5,0.0,95,143,1.6
2020/04/02,06:00,21.7,0.0,93,148,1.6
2020/04/02,07:00,22.0,0.0,92,153,1.5
2020/04/02,08:00,23.6,0.0,88,159,1.8
2020/04/02,09:00,25.6,0.0,83,180,1.9
2020/04/02,10:00,27.5,0.0,76,179,2.0
2020/04/02,11:00,29.7,0.0,70,339,1.3
2020/04/02,12:00,30.7,0.0,68,341,1.9
2020/04/02,13:00,31.8,0.0,65,349,2.0
2020/04/02,14:00,32.2,0.0,60,359,2.0
2020/04/02,15:00,32.7,0.0,56,332,1.6
2020/04/02,16:00,32.5,0.0,57,55,1.3
2020/04/02,17:00,30.9,0.0,64,188,0.5
2020/04/02,18:00,26.8,0.0,81,136,1.8
2020/04/02,19:00,26.8,0.0,81,136,1.8
2020/04/02,20:00,25.4,0.0,86,134,1.3
2020/04/02,21:00,24.9,0.0,87,129,1.7
2020/04/02,22:00,24.7,0.0,85,117,1.6
2020/04/02,23:00,24.0,0.0,86,185,1.3
2020/04/03,00:00,23.5,0.0,89,131,1.6
2020/04/03,01:00,23.3,0.0,90,118,0.8
2020/04/03,02:00,23.1,0.0,91,157,0.8
2020/04/03,03:00,23.4,0.0,90,142,1.4
2020/04/03,04:00,23.1,0.0,90,146,1.4
2020/04/03,05:00,22.4,0.0,92,138,0.5
2020/04/03,06:00,22.3,0.0,93,153,1.5
2020/04/03,07:00,22.9,0.0,91,151,1.3
2020/04/03,08:00,24.0,0.0,88,148,1.3
2020/04/03,09:00,25.1,0.0,84,160,1.2
2020/04/03,10:00,26.6,0.0,80,154,1.8
2020/04/03,11:00,24.8,0.0,87,356,2.2
2020/04/03,12:00,24.7,0.0,88,320,1.0
2020/04/03,13:00,25.8,0.0,86,26,1.3
2020/04/03,14:00,24.0,0.0,88,348,1.5
2020/04/03,15:00,22.4,0.0,94,112,0.5
2020/04/03,16:00,24.0,0.0,93,79,0.7
2020/04/03,17:00,23.7,0.0,94,348,1.1
2020/04/03,18:00,22.6,0.0,95,151,0.7
2020/04/03,19:00,22.3,0.0,96,213,0.3
2020/04/03,20:00,21.8,0.0,97,120,0.2
2020/04/03,21:00,21.8,0.0,97,101,0.3
2020/04/03,22:00,21.7,0.0,98,150,1.1
2020/04/03,23:00,21.5,0.0,97,134,0.9
2020/04/04,00:00,21.3,0.0,97,23,0.5
2020/04/04,01:00,21.2,0.0,98,195,0.4
2020/04/04,02:00,21.1,0.0,99,135,0.2
2020/04/04,03:00,21.1,0.0,99,134,1.6
2020/04/04,04:00,21.3,0.0,97,143,1.2
2020/04/04,05:00,21.4,0.0,96,158,0.9
2020/04/04,06:00,21.3,0.0,96,138,1.6
2020/04/04,07:00,21.5,0.0,94,144,1.6
2020/04/04,08:00,22.6,0.0,91,157,2.2
2020/04/04,09:00,22.6,0.0,91,157,2.2
