Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SALVACION
,Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
,Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/06/01,00:00,22.2,0.0,93,355,0.0
2020/06/01,01:00,22.1,0.0,93,136,1.5
2020/06/01,02:00,21.9,0.0,92,343,0.3
2020/06/01,03:00,20.9,0.0,95,138,1.1
2020/06/01,04:00,20.9,0.0,95,138,1.1
2020/06/01,05:00,22.0,0.0,91,132,1.3
2020/06/01,06:00,21.8,0.0,92,143,1.1
2020/06/01,07:00,21.6,0.0,93,178,1.4
2020/06/01,08:00,22.4,0.0,91,181,1.4
2020/06/01,09:00,23.8,0.0,86,170,1.3
2020/06/01,10:00,25.9,0.0,78,185,1.7
2020/06/01,11:00,27.5,0.0,72,192,1.0
2020/06/01,12:00,28.8,0.0,68,357,1.7
2020/06/01,13:00,28.7,0.0,68,346,1.4
2020/06/01,14:00,28.9,0.0,67,355,1.2
2020/06/01,15:00,28.4,0.0,68,333,1.3
2020/06/01,16:00,27.3,0.0,73,47,0.7
2020/06/01,17:00,26.2,0.0,79,80,1.0
2020/06/01,18:00,24.4,0.0,87,97,0.8
2020/06/01,19:00,23.4,0.0,90,4,0.1
2020/06/01,20:00,23.3,0.0,92,157,1.5
2020/06/01,21:00,23.7,0.0,91,156,1.4
2020/06/01,22:00,23.4,0.0,91,37,0.0
2020/06/01,23:00,22.5,0.0,94,1,0.3
2020/06/02,00:00,22.1,0.0,96,119,0.0
2020/06/02,01:00,22.0,0.0,97,161,0.7
2020/06/02,02:00,22.1,0.0,97,146,0.4
2020/06/02,03:00,22.7,0.2,95,107,0.6
2020/06/02,04:00,22.7,0.2,95,107,0.6
2020/06/02,05:00,21.8,0.0,98,176,0.7
2020/06/02,06:00,21.9,0.0,98,120,0.9
2020/06/02,07:00,21.8,0.0,97,61,0.2
2020/06/02,08:00,22.6,0.0,97,146,0.4
2020/06/02,09:00,23.4,0.0,94,121,0.5
2020/06/02,10:00,24.5,0.0,90,299,0.4
2020/06/02,11:00,25.6,0.0,88,298,0.7
2020/06/02,12:00,27.0,0.0,83,266,0.7
2020/06/02,13:00,27.5,0.0,78,343,0.7
2020/06/02,14:00,27.5,0.0,78,10,0.9
2020/06/02,15:00,27.4,0.0,78,51,1.4
2020/06/02,16:00,25.1,0.0,82,122,0.9
2020/06/02,17:00,22.9,0.0,87,31,1.5
2020/06/02,18:00,21.5,0.0,90,340,1.9
2020/06/02,19:00,20.6,0.0,94,339,1.1
2020/06/02,20:00,19.9,1.2,96,342,1.7
2020/06/02,21:00,19.4,1.0,97,327,1.8
2020/06/02,22:00,18.9,4.8,98,330,1.4
2020/06/02,23:00,18.5,5.8,98,319,0.8
2020/06/03,00:00,18.4,1.8,99,342,1.1
2020/06/03,01:00,18.2,0.4,99,342,1.2
2020/06/03,02:00,18.0,0.6,99,325,1.0
2020/06/03,03:00,17.6,0.2,99,313,0.8
2020/06/03,04:00,17.4,0.0,99,314,0.6
2020/06/03,05:00,17.2,0.2,99,346,1.0
2020/06/03,06:00,17.2,0.0,99,340,0.6
2020/06/03,07:00,17.2,0.2,99,352,0.5
2020/06/03,08:00,17.5,0.2,99,308,0.2
2020/06/03,09:00,18.2,0.0,99,334,1.0
2020/06/03,10:00,18.8,0.0,97,324,0.7
2020/06/03,11:00,19.5,0.0,95,349,1.7
2020/06/03,12:00,20.3,0.0,93,339,1.2
2020/06/03,13:00,20.5,0.0,92,348,1.0
2020/06/03,14:00,20.8,0.0,92,303,0.4
2020/06/03,15:00,20.6,0.2,93,338,0.9
2020/06/03,16:00,20.6,0.0,93,358,1.5
2020/06/03,17:00,20.3,0.0,93,22,0.6
2020/06/03,18:00,19.9,0.0,94,48,0.0
2020/06/03,19:00,19.9,0.0,94,48,0.0
2020/06/03,20:00,19.1,0.0,97,99,0.0
2020/06/03,21:00,19.2,0.0,97,40,0.3
2020/06/03,22:00,19.1,0.0,97,89,0.2
2020/06/03,23:00,18.9,0.0,98,26,0.1
2020/06/04,00:00,18.8,0.0,99,221,0.1
2020/06/04,01:00,18.9,0.0,99,333,0.6
2020/06/04,02:00,18.7,0.0,100,345,0.9
2020/06/04,03:00,18.5,0.0,100,323,0.5
2020/06/04,04:00,18.5,0.0,100,108,0.0
2020/06/04,05:00,18.6,0.0,100,325,0.6
2020/06/04,06:00,18.6,0.0,100,334,0.3
2020/06/04,07:00,18.6,0.0,100,232,0.1
2020/06/04,08:00,19.1,0.0,100,319,0.7
2020/06/04,09:00,20.1,0.0,99,322,0.7
