Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SALVACION
,Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
,Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/05/01,00:00,22.9,0.0,98,119,0.3
2020/05/01,01:00,23.2,0.0,97,127,1.0
2020/05/01,02:00,23.3,0.0,96,135,1.4
2020/05/01,03:00,23.2,0.0,94,121,1.5
2020/05/01,04:00,23.2,0.0,93,127,1.5
2020/05/01,05:00,23.1,0.0,93,125,1.0
2020/05/01,06:00,22.4,0.0,95,99,0.1
2020/05/01,07:00,22.4,0.0,97,94,0.3
2020/05/01,08:00,23.3,0.0,95,141,1.2
2020/05/01,09:00,24.5,0.0,91,152,1.5
2020/05/01,10:00,26.2,0.0,86,169,1.0
2020/05/01,11:00,28.8,0.0,79,5,0.7
2020/05/01,12:00,30.5,0.0,73,276,0.9
2020/05/01,13:00,30.8,0.0,68,349,1.0
2020/05/01,14:00,31.5,0.0,65,319,1.5
2020/05/01,15:00,30.8,0.0,64,348,2.0
2020/05/01,16:00,29.2,0.0,71,336,0.5
2020/05/01,17:00,28.1,0.0,79,93,0.9
2020/05/01,18:00,25.7,0.0,88,127,0.8
2020/05/01,19:00,24.5,0.0,86,127,0.5
2020/05/01,20:00,23.5,0.0,90,64,0.9
2020/05/01,21:00,23.8,0.0,92,159,1.9
2020/05/01,22:00,23.8,0.0,94,171,1.3
2020/05/01,23:00,23.6,0.0,95,128,1.4
2020/05/02,00:00,23.4,0.0,95,117,1.2
2020/05/02,01:00,23.2,0.0,95,133,1.3
2020/05/02,02:00,22.9,0.0,95,141,0.5
2020/05/02,03:00,22.9,0.0,97,15,0.4
2020/05/02,04:00,22.6,0.0,98,174,0.1
2020/05/02,05:00,22.6,0.0,98,134,1.1
2020/05/02,06:00,22.5,0.0,98,126,1.5
2020/05/02,07:00,22.5,0.0,97,125,1.6
2020/05/02,08:00,22.8,0.0,95,142,1.6
2020/05/02,09:00,22.9,0.0,96,175,1.9
2020/05/02,10:00,23.4,0.0,96,179,1.9
2020/05/02,11:00,24.1,0.0,93,110,0.6
2020/05/02,12:00,25.3,0.0,90,68,0.8
2020/05/02,13:00,26.0,0.0,88,237,0.4
2020/05/02,14:00,26.0,0.0,88,237,0.4
2020/05/02,15:00,27.1,0.0,82,110,2.8
2020/05/02,16:00,25.4,0.0,86,188,0.2
2020/05/02,17:00,25.5,0.0,85,59,0.4
2020/05/02,18:00,23.7,0.0,91,89,0.4
2020/05/02,19:00,22.1,0.0,95,60,0.4
2020/05/02,20:00,21.9,0.0,96,174,1.6
2020/05/02,21:00,21.6,0.0,97,83,0.7
2020/05/02,22:00,21.5,0.0,98,127,1.1
2020/05/02,23:00,22.1,0.0,97,42,0.1
2020/05/03,00:00,21.8,0.0,98,144,1.2
2020/05/03,01:00,22.3,0.0,96,131,0.8
2020/05/03,02:00,22.1,0.0,96,143,1.1
2020/05/03,03:00,22.0,0.0,96,132,0.1
2020/05/03,04:00,21.7,0.0,97,143,1.2
2020/05/03,05:00,22.2,0.0,96,142,1.5
2020/05/03,06:00,22.4,0.0,95,344,0.5
2020/05/03,07:00,22.0,0.0,97,153,1.5
2020/05/03,08:00,22.9,0.0,94,140,1.8
2020/05/03,09:00,24.1,0.0,90,131,1.4
2020/05/03,10:00,24.9,0.0,86,137,1.4
2020/05/03,11:00,25.6,0.0,83,138,1.6
2020/05/03,12:00,27.8,0.2,78,183,1.2
2020/05/03,13:00,29.6,0.0,69,4,0.5
2020/05/03,14:00,29.6,0.0,67,334,0.7
2020/05/03,15:00,29.6,0.0,66,349,1.9
2020/05/03,16:00,29.1,0.0,67,314,1.0
2020/05/03,17:00,27.2,0.0,77,73,0.5
2020/05/03,18:00,25.2,0.0,86,91,0.8
2020/05/03,19:00,23.8,0.0,90,115,0.5
2020/05/03,20:00,23.7,0.0,92,154,1.3
2020/05/03,21:00,24.0,0.0,92,153,1.5
2020/05/03,22:00,23.3,0.0,93,152,1.4
2020/05/03,23:00,22.7,0.0,95,262,0.1
2020/05/04,00:00,22.6,0.0,97,126,1.1
2020/05/04,01:00,23.0,0.0,95,124,0.5
2020/05/04,02:00,22.7,0.0,95,155,1.1
2020/05/04,03:00,22.6,0.0,95,161,1.4
2020/05/04,04:00,22.6,0.0,95,153,1.4
2020/05/04,05:00,22.8,0.0,94,146,1.4
2020/05/04,06:00,22.6,0.0,94,315,0.8
2020/05/04,07:00,22.1,0.0,96,359,0.6
2020/05/04,08:00,22.7,0.0,96,297,0.2
2020/05/04,09:00,23.4,0.0,95,142,0.9
