Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SALVACION
,Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
,Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/09/01,00:00,20.2,0.0,96,133,1.1
2020/09/01,01:00,21.0,0.0,96,131,0.8
2020/09/01,02:00,20.5,0.0,96,112,0.8
2020/09/01,03:00,20.6,0.0,96,133,1.7
2020/09/01,04:00,20.6,0.0,94,143,1.8
2020/09/01,05:00,20.6,0.0,93,140,2.0
2020/09/01,06:00,20.4,0.0,92,136,1.6
2020/09/01,07:00,20.5,0.0,92,169,1.6
2020/09/01,08:00,22.3,0.0,86,188,1.9
2020/09/01,09:00,23.8,0.0,80,226,0.8
2020/09/01,10:00,25.2,0.0,78,315,1.6
2020/09/01,11:00,27.1,0.0,76,340,0.8
2020/09/01,12:00,28.8,0.0,71,351,1.3
2020/09/01,13:00,29.6,0.0,68,328,2.0
2020/09/01,14:00,30.1,0.0,64,320,1.9
2020/09/01,15:00,30.4,0.0,61,351,1.6
2020/09/01,16:00,30.4,0.0,60,326,1.5
2020/09/01,17:00,29.2,0.0,61,187,1.4
2020/09/01,18:00,25.8,0.0,69,112,0.8
2020/09/01,19:00,23.7,0.0,82,144,1.5
2020/09/01,20:00,23.4,0.0,85,141,1.0
2020/09/01,21:00,22.3,0.0,88,136,1.1
2020/09/01,22:00,22.1,0.0,89,154,1.3
2020/09/01,23:00,20.9,0.0,92,137,0.0
2020/09/02,00:00,21.9,0.0,89,150,1.6
2020/09/02,01:00,22.0,0.0,88,129,0.2
2020/09/02,02:00,21.8,0.0,88,141,1.3
2020/09/02,03:00,22.0,0.0,86,149,1.5
2020/09/02,04:00,21.4,0.0,89,61,0.2
2020/09/02,05:00,20.9,0.0,92,162,1.0
2020/09/02,06:00,21.3,0.0,90,143,1.8
2020/09/02,07:00,21.2,0.0,91,161,1.4
2020/09/02,08:00,22.1,0.0,89,189,0.3
2020/09/02,09:00,23.5,0.0,83,176,1.7
2020/09/02,10:00,25.2,0.0,76,213,1.1
2020/09/02,11:00,26.7,0.0,72,342,1.4
2020/09/02,12:00,27.3,0.0,74,315,1.4
2020/09/02,13:00,27.7,0.0,74,211,0.9
2020/09/02,14:00,27.7,0.0,74,211,0.9
2020/09/02,15:00,29.8,0.0,65,325,1.5
2020/09/02,16:00,29.6,0.0,65,5,1.8
2020/09/02,17:00,27.7,0.0,70,20,0.5
2020/09/02,18:00,25.6,0.0,80,97,0.9
2020/09/02,19:00,24.3,0.0,85,50,0.0
2020/09/02,20:00,23.5,0.0,88,85,0.6
2020/09/02,21:00,23.0,0.0,91,107,0.2
2020/09/02,22:00,22.9,0.0,92,92,0.5
2020/09/02,23:00,22.9,0.0,92,24,0.1
2020/09/03,00:00,22.9,0.0,93,158,0.5
2020/09/03,01:00,22.7,0.0,94,142,0.0
2020/09/03,02:00,22.5,0.0,95,91,0.0
2020/09/03,03:00,21.8,0.0,96,42,0.2
2020/09/03,04:00,21.5,0.0,97,81,0.2
2020/09/03,05:00,21.5,0.0,97,158,1.0
2020/09/03,06:00,22.1,0.0,95,159,0.8
2020/09/03,07:00,22.6,0.0,93,186,0.8
2020/09/03,08:00,23.9,0.0,89,172,1.7
2020/09/03,09:00,25.3,0.0,83,218,0.7
2020/09/03,10:00,27.9,0.0,77,6,0.9
2020/09/03,11:00,28.9,0.0,73,351,1.4
2020/09/03,12:00,29.0,0.0,71,42,1.7
2020/09/03,13:00,27.7,0.0,74,20,1.6
2020/09/03,14:00,25.6,0.0,82,194,0.4
2020/09/03,15:00,25.6,0.0,82,194,0.4
2020/09/03,16:00,26.5,0.0,76,163,1.1
2020/09/03,17:00,26.1,0.0,75,116,1.2
2020/09/03,18:00,25.2,0.0,77,137,1.4
2020/09/03,19:00,24.5,0.0,80,135,1.5
2020/09/03,20:00,23.8,0.0,84,119,0.2
2020/09/03,21:00,23.3,0.0,86,112,1.5
2020/09/03,22:00,23.5,0.0,85,145,1.2
2020/09/03,23:00,23.3,0.0,87,141,2.0
2020/09/04,00:00,23.3,0.0,86,132,1.4
2020/09/04,01:00,23.1,0.0,86,145,1.7
2020/09/04,02:00,22.7,0.0,86,139,1.5
2020/09/04,03:00,22.5,0.0,87,161,1.3
2020/09/04,04:00,22.0,0.0,88,143,1.6
2020/09/04,05:00,22.1,0.0,87,151,1.7
2020/09/04,06:00,21.8,0.0,89,137,1.4
2020/09/04,07:00,21.8,0.0,90,141,1.7
2020/09/04,08:00,22.8,0.0,87,159,1.4
2020/09/04,09:00,23.7,0.0,84,176,2.1
