Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SALVACION
,Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,MANU
,Latitud :,12°49'52.3'',Longitud :,71°21'52.06'',Altitud :,531 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8201A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/07/01,00:00,20.8,0.0,97,125,0.0
2020/07/01,01:00,21.2,0.0,97,174,0.7
2020/07/01,02:00,21.5,1.0,97,139,1.6
2020/07/01,03:00,21.6,1.4,97,142,0.2
2020/07/01,04:00,21.3,0.2,98,141,0.0
2020/07/01,05:00,21.2,0.0,98,108,0.3
2020/07/01,06:00,21.6,0.0,97,180,0.6
2020/07/01,07:00,21.4,0.0,98,282,0.0
2020/07/01,08:00,21.8,0.0,97,137,0.7
2020/07/01,09:00,22.8,0.0,93,195,0.5
2020/07/01,10:00,24.4,0.0,88,194,0.9
2020/07/01,11:00,26.6,0.0,81,174,0.2
2020/07/01,12:00,28.2,0.0,76,346,1.4
2020/07/01,13:00,27.4,0.0,77,6,2.3
2020/07/01,14:00,27.4,0.0,77,6,2.3
2020/07/01,15:00,27.0,0.0,76,1,1.9
2020/07/01,16:00,27.7,0.0,76,347,1.0
2020/07/01,17:00,26.6,0.0,78,20,1.0
2020/07/01,18:00,23.2,0.0,88,115,0.1
2020/07/01,19:00,21.9,0.0,93,137,0.0
2020/07/01,20:00,21.6,0.0,95,77,0.1
2020/07/01,21:00,21.2,0.0,96,98,0.0
2020/07/01,22:00,21.0,0.0,97,155,0.7
2020/07/01,23:00,21.2,0.0,97,102,0.0
2020/07/02,00:00,21.3,0.0,98,153,0.0
2020/07/02,01:00,21.3,0.0,98,95,0.0
2020/07/02,02:00,21.3,0.0,98,143,0.0
2020/07/02,03:00,21.5,0.0,99,8,0.0
2020/07/02,04:00,21.4,0.0,99,339,0.0
2020/07/02,05:00,21.4,0.6,99,331,1.0
2020/07/02,06:00,20.4,0.6,99,317,1.3
2020/07/02,07:00,19.3,0.0,99,333,1.7
2020/07/02,08:00,18.9,0.0,99,335,1.3
2020/07/02,09:00,18.9,0.2,99,328,1.5
2020/07/02,10:00,19.0,0.0,99,347,1.8
2020/07/02,11:00,19.3,0.0,99,336,1.0
2020/07/02,12:00,19.2,0.0,99,326,1.4
2020/07/02,13:00,19.4,0.0,99,340,1.9
2020/07/02,14:00,19.4,0.0,98,345,1.4
2020/07/02,15:00,19.4,0.0,98,345,1.4
2020/07/02,16:00,19.0,0.0,98,327,1.1
2020/07/02,17:00,18.9,0.0,99,320,0.8
2020/07/02,18:00,18.7,0.0,99,322,0.2
2020/07/02,19:00,18.6,0.0,99,339,0.6
2020/07/02,20:00,18.5,0.0,99,332,0.9
2020/07/02,21:00,18.5,0.0,100,333,0.1
2020/07/02,22:00,18.5,0.0,100,330,0.3
2020/07/02,23:00,18.6,0.0,100,319,0.0
2020/07/03,00:00,18.5,0.0,100,299,0.4
2020/07/03,01:00,18.2,0.0,100,323,0.3
2020/07/03,02:00,18.0,0.0,100,323,0.9
2020/07/03,03:00,17.8,0.0,100,325,0.8
2020/07/03,04:00,17.6,0.0,100,327,0.4
2020/07/03,05:00,17.5,0.0,100,318,0.5
2020/07/03,06:00,17.5,0.0,100,337,0.7
2020/07/03,07:00,17.6,0.0,100,328,0.0
2020/07/03,08:00,17.7,0.2,100,313,1.1
2020/07/03,09:00,18.0,0.2,100,318,1.3
2020/07/03,10:00,18.2,0.0,100,344,1.2
2020/07/03,11:00,18.8,0.0,97,319,0.9
2020/07/03,12:00,19.2,0.0,96,348,0.9
2020/07/03,13:00,19.3,0.0,94,355,1.3
2020/07/03,14:00,19.6,0.0,93,355,1.7
2020/07/03,15:00,19.5,0.0,93,6,1.3
2020/07/03,16:00,19.2,0.0,93,331,0.9
2020/07/03,17:00,18.8,0.0,95,328,0.7
2020/07/03,18:00,18.1,0.2,98,329,1.0
2020/07/03,19:00,17.9,0.2,99,315,0.0
2020/07/03,20:00,17.9,0.2,99,350,0.0
2020/07/03,21:00,17.9,0.0,99,328,0.8
2020/07/03,22:00,17.9,0.2,99,327,0.5
2020/07/03,23:00,17.9,0.6,100,309,0.4
2020/07/04,00:00,17.8,0.4,100,320,0.1
2020/07/04,01:00,17.7,0.0,100,317,0.2
2020/07/04,02:00,17.5,0.0,100,345,0.9
2020/07/04,03:00,17.4,0.0,100,319,0.0
2020/07/04,04:00,17.4,0.0,100,315,0.0
2020/07/04,05:00,17.4,0.0,100,21,0.0
2020/07/04,06:00,17.4,0.0,100,24,0.0
2020/07/04,07:00,17.5,0.0,100,172,0.0
2020/07/04,08:00,18.0,0.0,99,227,0.0
2020/07/04,09:00,19.5,0.0,96,161,1.3
