Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA ANA
,Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
,Latitud :,8°29'51.47'',Longitud :,75°33'45.86'',Altitud :,235 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8568A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2018/06/01,00:00,24.3,S/D,99,270,0.0
2018/06/01,01:00,24.4,S/D,99,50,0.0
2018/06/01,02:00,24.2,S/D,99,345,0.1
2018/06/01,03:00,23.8,S/D,99,254,0.0
2018/06/01,04:00,23.5,S/D,99,254,0.0
2018/06/01,05:00,23.7,S/D,100,35,0.0
2018/06/01,06:00,23.7,S/D,100,32,0.0
2018/06/01,07:00,23.9,S/D,100,92,0.0
2018/06/01,08:00,24.1,S/D,100,29,0.0
2018/06/01,09:00,25.1,S/D,98,26,0.6
2018/06/01,10:00,26.9,S/D,89,129,0.2
2018/06/01,11:00,27.0,0.0,87,81,0.4
2018/06/01,12:00,28.1,S/D,79,346,1.0
2018/06/01,13:00,29.9,S/D,74,64,0.8
2018/06/01,14:00,29.7,S/D,77,181,0.2
2018/06/01,15:00,26.2,S/D,87,277,0.1
2018/06/01,16:00,24.3,S/D,98,293,0.7
2018/06/01,17:00,23.9,S/D,98,89,0.1
2018/06/01,18:00,24.6,S/D,96,106,0.2
2018/06/01,19:00,24.2,S/D,98,322,0.0
2018/06/01,20:00,23.5,S/D,99,320,0.1
2018/06/01,21:00,23.2,S/D,99,55,0.0
2018/06/01,22:00,23.1,S/D,99,342,0.0
2018/06/01,23:00,23.4,S/D,100,141,0.0
2018/06/02,00:00,23.4,S/D,100,136,0.3
2018/06/02,01:00,23.5,S/D,100,13,0.0
2018/06/02,02:00,23.4,S/D,100,331,0.0
2018/06/02,03:00,23.3,S/D,100,87,0.0
2018/06/02,04:00,23.2,S/D,100,214,0.0
2018/06/02,05:00,23.1,S/D,100,133,0.0
2018/06/02,06:00,23.2,S/D,100,119,0.0
2018/06/02,07:00,23.2,S/D,100,83,0.0
2018/06/02,08:00,23.3,S/D,100,76,0.0
2018/06/02,09:00,23.7,S/D,100,287,0.0
2018/06/02,10:00,25.3,S/D,96,112,0.6
2018/06/02,11:00,27.4,0.0,86,74,0.5
2018/06/02,12:00,28.1,S/D,79,346,1.0
2018/06/02,13:00,29.4,S/D,78,145,0.5
2018/06/02,14:00,30.5,S/D,73,162,0.2
2018/06/02,15:00,30.4,S/D,73,24,0.6
2018/06/02,16:00,31.0,S/D,70,343,0.5
2018/06/02,17:00,29.8,S/D,79,164,0.3
2018/06/02,18:00,26.7,S/D,84,316,0.5
2018/06/02,19:00,23.6,S/D,99,288,0.2
2018/06/02,20:00,23.6,S/D,99,230,0.0
2018/06/02,21:00,23.5,S/D,100,142,0.0
2018/06/02,22:00,23.5,S/D,100,84,0.0
2018/06/02,23:00,23.5,S/D,100,317,0.0
2018/06/03,00:00,23.5,S/D,100,147,0.0
2018/06/03,01:00,23.4,S/D,100,144,0.0
2018/06/03,02:00,23.3,S/D,100,145,0.0
2018/06/03,03:00,23.4,S/D,100,133,0.0
2018/06/03,04:00,23.4,S/D,100,73,0.0
2018/06/03,05:00,23.3,S/D,100,73,0.0
2018/06/03,06:00,23.1,S/D,100,154,0.0
2018/06/03,07:00,22.5,S/D,100,138,0.1
2018/06/03,08:00,22.6,S/D,100,98,0.0
2018/06/03,09:00,23.0,S/D,99,81,0.1
2018/06/03,10:00,23.5,S/D,99,168,0.1
2018/06/03,11:00,23.2,16.0,99,195,0.1
2018/06/03,12:00,28.1,S/D,79,346,1.0
2018/06/03,13:00,22.5,S/D,99,307,0.0
2018/06/03,14:00,22.7,S/D,100,175,0.3
2018/06/03,15:00,22.8,S/D,99,122,0.1
2018/06/03,16:00,22.6,S/D,99,155,0.1
2018/06/03,17:00,22.5,S/D,99,147,0.0
2018/06/03,18:00,22.5,S/D,99,182,0.0
2018/06/03,19:00,22.3,S/D,99,163,0.1
2018/06/03,20:00,21.9,S/D,99,136,0.0
2018/06/03,21:00,21.8,S/D,99,102,0.0
2018/06/03,22:00,21.7,S/D,99,132,0.2
2018/06/03,23:00,21.5,S/D,98,136,0.0
2018/06/04,00:00,21.4,S/D,99,136,0.1
2018/06/04,01:00,21.2,S/D,98,119,0.2
2018/06/04,02:00,20.6,S/D,97,121,0.3
2018/06/04,03:00,20.2,S/D,97,360,0.2
2018/06/04,04:00,20.0,S/D,97,320,0.0
2018/06/04,05:00,19.9,S/D,98,21,0.1
2018/06/04,06:00,19.7,S/D,98,308,0.1
2018/06/04,07:00,19.6,S/D,99,66,0.0
2018/06/04,08:00,19.5,S/D,98,76,0.1
2018/06/04,09:00,19.7,S/D,98,30,0.6
2018/06/04,10:00,19.8,S/D,98,100,0.1
2018/06/04,11:00,20.2,0.6,98,42,0.3
2018/06/04,12:00,28.1,S/D,79,346,1.0
2018/06/04,13:00,20.4,S/D,97,119,0.1
2018/06/04,14:00,20.8,S/D,96,15,0.4
2018/06/04,15:00,21.7,S/D,93,74,0.2
2018/06/04,16:00,22.5,S/D,90,9,0.3
2018/06/04,17:00,22.9,S/D,90,74,0.2
2018/06/04,18:00,22.6,S/D,91,23,0.2
2018/06/04,19:00,21.9,S/D,96,174,0.0
2018/06/04,20:00,21.5,S/D,98,18,0.1
2018/06/04,21:00,21.2,S/D,99,350,0.0
2018/06/04,22:00,20.9,S/D,99,350,0.0
2018/06/04,23:00,20.9,S/D,99,351,0.0
2018/06/05,00:00,21.0,S/D,100,50,0.0
2018/06/05,01:00,21.0,S/D,99,61,0.0
2018/06/05,02:00,20.9,S/D,99,47,0.0
2018/06/05,03:00,20.9,S/D,99,47,0.0
2018/06/05,04:00,20.8,S/D,99,91,0.0
2018/06/05,05:00,20.8,S/D,99,360,0.0
2018/06/05,06:00,20.7,S/D,99,360,0.0
2018/06/05,07:00,20.7,S/D,99,360,0.0
2018/06/05,08:00,20.6,S/D,99,347,0.0
2018/06/05,09:00,21.1,S/D,99,353,0.0
2018/06/05,10:00,22.3,S/D,94,51,0.2
2018/06/05,11:00,23.6,0.0,87,357,0.4
2018/06/05,12:00,28.1,S/D,79,346,1.0
2018/06/05,13:00,23.8,S/D,86,153,0.5
2018/06/05,14:00,25.4,S/D,81,138,0.3
2018/06/05,15:00,25.4,S/D,82,144,0.2
2018/06/05,16:00,25.8,S/D,82,141,0.2
2018/06/05,17:00,25.4,S/D,84,97,0.4
2018/06/05,18:00,24.7,S/D,87,125,0.0
2018/06/05,19:00,23.3,S/D,94,83,0.2
2018/06/05,20:00,22.4,S/D,98,252,0.1
2018/06/05,21:00,22.2,S/D,99,243,0.0
2018/06/05,22:00,22.3,S/D,99,243,0.0
2018/06/05,23:00,22.2,S/D,99,243,0.0
2018/06/06,00:00,22.2,S/D,99,243,0.0
2018/06/06,01:00,22.1,S/D,99,310,0.0
2018/06/06,02:00,21.7,S/D,99,291,0.2
2018/06/06,03:00,21.4,S/D,99,304,0.1
2018/06/06,04:00,21.3,S/D,99,355,0.3
2018/06/06,05:00,21.2,S/D,99,319,0.0
2018/06/06,06:00,21.1,S/D,99,316,0.0
2018/06/06,07:00,21.0,S/D,99,316,0.0
2018/06/06,08:00,21.2,S/D,99,316,0.0
2018/06/06,09:00,21.7,S/D,98,105,0.0
2018/06/06,10:00,22.9,S/D,92,121,0.1
2018/06/06,11:00,24.2,0.0,88,217,0.1
2018/06/06,12:00,28.1,S/D,79,346,1.0
2018/06/06,13:00,24.8,S/D,88,336,0.1
2018/06/06,14:00,25.3,S/D,84,118,0.1
2018/06/06,15:00,25.9,S/D,81,19,0.2
2018/06/06,16:00,25.8,S/D,85,187,0.1
2018/06/06,17:00,25.5,S/D,87,151,0.0
2018/06/06,18:00,24.9,S/D,91,113,0.1
2018/06/06,19:00,24.0,S/D,95,320,0.0
2018/06/06,20:00,23.6,S/D,98,357,0.0
2018/06/06,21:00,23.3,S/D,99,322,0.0
2018/06/06,22:00,23.1,S/D,99,6,0.0
2018/06/06,23:00,22.8,S/D,99,353,0.0
2018/06/07,00:00,22.5,S/D,99,353,0.0
2018/06/07,01:00,22.5,S/D,99,353,0.0
2018/06/07,02:00,22.4,S/D,99,353,0.0
2018/06/07,03:00,22.3,S/D,99,353,0.0
2018/06/07,04:00,22.3,S/D,99,23,0.0
2018/06/07,05:00,22.3,S/D,99,24,0.0
2018/06/07,06:00,22.2,S/D,99,24,0.0
2018/06/07,07:00,22.2,S/D,99,24,0.0
2018/06/07,08:00,22.3,S/D,100,24,0.0
2018/06/07,09:00,22.8,S/D,99,125,0.0
2018/06/07,10:00,23.8,S/D,94,154,0.1
2018/06/07,11:00,25.4,0.0,86,84,0.1
2018/06/07,12:00,28.1,S/D,79,346,1.0
2018/06/07,13:00,26.5,S/D,83,110,0.1
2018/06/07,14:00,26.0,S/D,85,109,0.0
2018/06/07,15:00,26.9,S/D,81,137,0.7
2018/06/07,16:00,28.2,S/D,72,97,0.4
2018/06/07,17:00,27.2,S/D,80,44,0.3
2018/06/07,18:00,25.9,S/D,92,81,0.0
2018/06/07,19:00,25.1,S/D,96,81,0.0
2018/06/07,20:00,24.1,S/D,97,330,0.0
2018/06/07,21:00,23.6,S/D,98,33,0.0
2018/06/07,22:00,23.2,S/D,99,33,0.0
2018/06/07,23:00,22.9,S/D,99,60,0.0
2018/06/08,00:00,22.3,S/D,99,157,0.0
2018/06/08,01:00,22.1,S/D,100,155,0.0
2018/06/08,02:00,22.0,S/D,100,155,0.0
2018/06/08,03:00,22.1,S/D,100,155,0.0
2018/06/08,04:00,22.2,S/D,100,155,0.0
2018/06/08,05:00,22.2,S/D,100,165,0.0
2018/06/08,06:00,22.2,S/D,100,125,0.0
2018/06/08,07:00,22.2,S/D,100,125,0.0
2018/06/08,08:00,22.2,S/D,100,125,0.0
2018/06/08,09:00,22.7,S/D,99,125,0.0
2018/06/08,10:00,24.1,S/D,95,282,0.0
2018/06/08,11:00,25.9,0.0,85,128,0.5
2018/06/08,12:00,28.1,S/D,79,346,1.0
2018/06/08,13:00,28.2,S/D,73,34,0.8
2018/06/08,14:00,28.0,S/D,73,359,0.7
2018/06/08,15:00,27.6,S/D,78,334,0.4
2018/06/08,16:00,27.5,S/D,83,293,0.3
2018/06/08,17:00,26.6,S/D,89,321,0.2
2018/06/08,18:00,25.9,S/D,86,344,0.7
2018/06/08,19:00,24.6,S/D,91,290,0.0
2018/06/08,20:00,23.4,S/D,97,338,0.1
2018/06/08,21:00,23.0,S/D,99,334,0.0
2018/06/08,22:00,22.7,S/D,99,360,0.0
2018/06/08,23:00,22.6,S/D,99,360,0.0
2018/06/09,00:00,22.5,S/D,99,16,0.0
2018/06/09,01:00,22.3,S/D,99,6,0.0
2018/06/09,02:00,22.2,S/D,99,1,0.0
2018/06/09,03:00,22.0,S/D,100,1,0.0
2018/06/09,04:00,21.9,S/D,100,1,0.0
2018/06/09,05:00,22.0,S/D,100,1,0.0
2018/06/09,06:00,22.1,S/D,100,1,0.0
2018/06/09,07:00,22.2,S/D,100,345,0.0
2018/06/09,08:00,22.3,S/D,100,345,0.0
2018/06/09,09:00,22.9,S/D,99,353,0.0
