Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : SANTA ANA
,Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
,Latitud :,8°29'51.47'',Longitud :,75°33'45.86'',Altitud :,235 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8568A
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2018/05/01,00:00,24.1,0.0,99,349,0.2
2018/05/01,01:00,23.8,0.0,99,9,0.0
2018/05/01,02:00,23.5,0.0,99,316,0.0
2018/05/01,03:00,23.2,0.0,100,332,0.0
2018/05/01,04:00,23.1,0.0,100,124,0.0
2018/05/01,05:00,22.9,0.0,100,297,0.0
2018/05/01,06:00,23.0,0.0,100,134,0.0
2018/05/01,07:00,23.2,0.0,100,139,0.0
2018/05/01,08:00,23.2,0.0,100,120,0.0
2018/05/01,09:00,24.1,0.0,100,170,0.0
2018/05/01,10:00,25.1,0.0,97,180,0.4
2018/05/01,11:00,26.7,0.0,88,147,0.1
2018/05/01,12:00,28.1,0.1,79,346,1.0
2018/05/01,13:00,27.9,0.0,84,175,0.5
2018/05/01,14:00,29.5,0.0,79,184,0.1
2018/05/01,15:00,29.9,0.0,78,91,0.5
2018/05/01,16:00,26.5,0.0,86,303,0.0
2018/05/01,17:00,24.1,0.0,99,358,0.2
2018/05/01,18:00,24.1,0.0,99,318,0.3
2018/05/01,19:00,24.0,0.0,99,170,0.0
2018/05/01,20:00,23.7,0.0,99,119,0.0
2018/05/01,21:00,23.4,0.0,100,296,0.0
2018/05/01,22:00,23.1,0.0,100,42,0.1
2018/05/01,23:00,23.0,0.0,100,332,0.0
2018/05/02,00:00,22.9,0.0,100,326,0.0
2018/05/02,01:00,22.8,0.0,100,326,0.0
2018/05/02,02:00,22.7,0.0,100,340,0.0
2018/05/02,03:00,22.7,0.0,100,339,0.0
2018/05/02,04:00,22.7,0.0,100,285,0.0
2018/05/02,05:00,22.7,0.0,100,39,0.0
2018/05/02,06:00,22.6,0.0,100,253,0.0
2018/05/02,07:00,22.4,0.0,100,253,0.0
2018/05/02,08:00,22.5,0.0,100,360,0.0
2018/05/02,09:00,23.3,0.0,100,44,0.0
2018/05/02,10:00,24.9,0.0,97,98,0.4
2018/05/02,11:00,27.0,0.0,87,98,0.3
2018/05/02,12:00,28.1,0.1,79,346,1.0
2018/05/02,13:00,30.0,0.0,73,40,0.8
2018/05/02,14:00,30.4,0.0,71,14,0.7
2018/05/02,15:00,31.1,0.0,69,108,0.5
2018/05/02,16:00,31.1,0.0,68,73,0.6
2018/05/02,17:00,26.6,0.0,95,211,0.2
2018/05/02,18:00,25.9,0.0,96,273,0.0
2018/05/02,19:00,25.5,0.0,98,293,0.0
2018/05/02,20:00,24.6,0.0,99,318,0.0
2018/05/02,21:00,24.1,0.0,99,202,0.0
2018/05/02,22:00,23.8,0.0,100,342,0.0
2018/05/02,23:00,23.7,0.0,100,279,0.0
2018/05/03,00:00,23.7,0.0,100,313,0.0
2018/05/03,01:00,23.5,0.0,100,334,0.0
2018/05/03,02:00,23.2,0.0,100,13,0.0
2018/05/03,03:00,22.7,0.0,100,328,0.0
2018/05/03,04:00,22.5,0.0,100,329,0.0
2018/05/03,05:00,22.3,0.0,100,340,0.1
2018/05/03,06:00,22.1,0.0,100,287,0.0
2018/05/03,07:00,21.8,0.0,100,351,0.0
2018/05/03,08:00,21.7,0.0,100,63,0.0
2018/05/03,09:00,22.6,0.0,100,113,0.2
2018/05/03,10:00,25.3,0.0,90,160,0.4
2018/05/03,11:00,28.0,0.0,81,115,0.7
2018/05/03,12:00,28.1,0.1,79,346,1.0
2018/05/03,13:00,30.8,0.0,69,77,0.4
2018/05/03,14:00,32.0,0.0,65,159,0.2
2018/05/03,15:00,32.4,0.0,62,238,0.0
2018/05/03,16:00,32.2,0.0,67,234,0.0
2018/05/03,17:00,30.6,0.0,71,161,0.1
2018/05/03,18:00,28.4,0.0,84,53,0.0
2018/05/03,19:00,26.4,0.0,95,312,0.0
2018/05/03,20:00,25.2,0.0,98,313,0.0
2018/05/03,21:00,24.9,0.0,99,294,0.1
2018/05/03,22:00,24.4,0.0,99,264,0.0
2018/05/03,23:00,24.0,0.0,99,350,0.0
2018/05/04,00:00,23.8,0.0,99,349,0.0
2018/05/04,01:00,23.4,0.0,99,305,0.0
2018/05/04,02:00,23.1,0.0,100,322,0.0
2018/05/04,03:00,22.8,0.0,100,301,0.0
2018/05/04,04:00,22.8,0.0,100,26,0.0
2018/05/04,05:00,22.5,0.0,100,18,0.0
2018/05/04,06:00,22.2,0.0,100,278,0.0
2018/05/04,07:00,22.2,0.0,100,341,0.0
2018/05/04,08:00,22.5,0.0,100,36,0.0
2018/05/04,09:00,24.0,0.0,99,66,0.4
2018/05/04,10:00,26.8,0.0,89,127,0.5
2018/05/04,11:00,28.9,0.0,79,32,0.8
2018/05/04,12:00,28.1,0.1,79,346,1.0
2018/05/04,13:00,31.3,0.0,69,83,0.8
2018/05/04,14:00,30.8,0.0,73,86,0.2
2018/05/04,15:00,26.7,0.0,88,275,0.0
2018/05/04,16:00,26.6,0.0,92,138,0.4
2018/05/04,17:00,27.3,0.0,88,171,0.1
2018/05/04,18:00,26.7,0.0,94,304,0.0
2018/05/04,19:00,25.8,0.0,98,329,0.0
2018/05/04,20:00,25.0,0.0,99,329,0.0
2018/05/04,21:00,24.5,0.0,99,232,0.0
2018/05/04,22:00,24.4,0.0,99,295,0.0
2018/05/04,23:00,24.2,0.0,100,323,0.1
2018/05/05,00:00,24.0,0.0,100,345,0.1
2018/05/05,01:00,23.9,0.0,99,337,0.2
2018/05/05,02:00,23.4,0.0,99,347,0.0
2018/05/05,03:00,23.3,0.0,99,355,0.0
2018/05/05,04:00,23.2,0.0,99,269,0.0
2018/05/05,05:00,23.0,0.0,99,298,0.0
2018/05/05,06:00,23.0,0.0,100,324,0.3
2018/05/05,07:00,23.0,0.0,100,288,0.3
2018/05/05,08:00,23.0,0.0,100,337,0.0
2018/05/05,09:00,22.7,0.0,100,154,0.0
2018/05/05,10:00,22.7,0.0,100,115,0.2
2018/05/05,11:00,22.7,0.0,100,175,0.2
2018/05/05,12:00,28.1,0.1,79,346,1.0
2018/05/05,13:00,24.5,0.0,98,185,0.4
2018/05/05,14:00,26.1,0.0,87,160,0.5
2018/05/05,15:00,27.8,0.0,82,112,0.7
2018/05/05,16:00,28.5,0.0,77,175,0.6
2018/05/05,17:00,28.0,0.0,79,102,0.8
2018/05/05,18:00,26.0,0.0,91,74,0.0
2018/05/05,19:00,24.9,0.0,97,282,0.0
2018/05/05,20:00,24.1,0.0,99,327,0.0
2018/05/05,21:00,23.5,0.0,99,307,0.0
2018/05/05,22:00,23.1,0.0,99,307,0.0
2018/05/05,23:00,22.7,0.0,100,360,0.0
2018/05/06,00:00,22.8,0.0,100,292,0.0
2018/05/06,01:00,22.4,0.0,100,305,0.0
2018/05/06,02:00,22.0,0.0,100,302,0.0
2018/05/06,03:00,21.9,0.0,100,333,0.0
2018/05/06,04:00,21.9,0.0,100,355,0.0
2018/05/06,05:00,21.6,0.0,100,274,0.0
2018/05/06,06:00,21.6,0.0,100,37,0.0
2018/05/06,07:00,22.1,0.0,100,78,0.0
2018/05/06,08:00,22.4,0.0,100,122,0.0
2018/05/06,09:00,23.2,0.0,99,141,0.4
2018/05/06,10:00,25.0,0.0,93,4,0.2
2018/05/06,11:00,26.5,0.0,85,78,0.3
2018/05/06,12:00,28.1,0.1,79,346,1.0
2018/05/06,13:00,29.4,0.0,72,29,0.7
2018/05/06,14:00,30.1,0.0,72,278,0.1
2018/05/06,16:00,29.8,0.0,75,14,0.1
2018/05/06,17:00,29.0,0.0,79,8,0.4
2018/05/06,18:00,28.3,0.0,80,2,0.1
2018/05/06,19:00,26.0,0.0,96,310,0.0
2018/05/06,20:00,24.4,0.0,97,320,0.0
2018/05/06,21:00,23.8,0.0,99,299,0.0
2018/05/06,22:00,24.0,0.0,99,58,0.3
2018/05/06,23:00,23.7,0.0,99,299,0.0
2018/05/07,00:00,23.2,0.0,99,9,0.0
2018/05/07,01:00,23.0,0.0,99,193,0.3
2018/05/07,02:00,22.6,0.0,99,10,0.2
2018/05/07,03:00,22.5,0.0,100,294,0.0
2018/05/07,04:00,22.5,0.0,100,1,0.0
2018/05/07,05:00,22.6,0.0,100,92,0.1
2018/05/07,06:00,22.6,0.0,100,127,0.0
2018/05/07,07:00,22.6,0.0,100,200,0.0
2018/05/07,08:00,22.8,0.0,100,118,0.0
2018/05/07,09:00,23.3,0.0,100,77,0.0
2018/05/07,10:00,23.9,0.0,98,219,0.0
2018/05/07,11:00,25.2,0.0,92,339,0.2
2018/05/07,12:00,28.1,0.1,79,346,1.0
2018/05/07,13:00,27.5,0.0,78,276,0.1
2018/05/07,14:00,28.0,0.0,76,139,0.3
2018/05/07,15:00,28.8,0.0,75,67,0.5
2018/05/07,16:00,28.5,0.0,78,44,0.6
2018/05/07,17:00,28.4,0.0,76,5,0.3
2018/05/07,18:00,26.3,0.0,89,311,0.0
2018/05/07,19:00,24.9,0.0,97,305,0.3
2018/05/07,20:00,23.8,0.0,99,316,0.0
2018/05/07,21:00,23.2,0.0,99,307,0.0
2018/05/07,22:00,22.7,0.0,99,302,0.0
2018/05/07,23:00,22.4,0.0,99,340,0.0
2018/05/08,00:00,22.0,0.0,100,14,0.1
2018/05/08,01:00,21.8,0.0,100,29,0.0
2018/05/08,02:00,21.6,0.0,100,29,0.0
2018/05/08,03:00,21.3,0.0,100,356,0.0
2018/05/08,04:00,21.1,0.0,100,356,0.0
2018/05/08,05:00,21.3,0.0,100,356,0.0
2018/05/08,06:00,21.1,0.0,100,356,0.0
2018/05/08,07:00,21.0,0.0,100,356,0.0
2018/05/08,08:00,21.1,0.0,100,24,0.1
2018/05/08,09:00,22.0,0.0,100,79,0.3
2018/05/08,10:00,25.1,0.0,90,116,0.3
2018/05/08,11:00,27.2,0.0,81,122,0.5
2018/05/08,12:00,28.1,0.1,79,346,1.0
2018/05/08,13:00,29.0,0.0,74,133,0.4
2018/05/08,14:00,30.8,0.0,66,121,0.4
2018/05/08,15:00,30.2,0.0,69,108,1.0
2018/05/08,16:00,24.3,0.0,93,120,0.5
2018/05/08,17:00,24.0,0.0,97,308,0.1
2018/05/08,18:00,24.3,0.0,96,14,0.2
2018/05/08,19:00,23.8,0.0,97,41,0.0
2018/05/08,20:00,23.0,0.0,99,299,0.0
2018/05/08,21:00,22.6,0.0,99,216,0.0
2018/05/08,22:00,22.5,0.0,100,298,0.0
2018/05/08,23:00,22.6,0.0,100,334,0.0
2018/05/09,00:00,22.4,0.0,100,130,0.0
2018/05/09,01:00,22.2,0.0,100,78,0.0
2018/05/09,02:00,22.0,0.0,100,91,0.0
2018/05/09,03:00,21.9,0.0,100,353,0.0
2018/05/09,04:00,21.8,0.0,100,309,0.0
2018/05/09,05:00,21.9,0.0,100,131,0.0
2018/05/09,06:00,21.8,0.0,100,135,0.0
2018/05/09,07:00,21.7,0.0,100,166,0.0
2018/05/09,08:00,21.8,0.0,100,5,0.0
2018/05/09,09:00,23.0,0.0,100,20,0.0
2018/05/09,10:00,24.7,0.0,93,106,0.1
