Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA CRUZ
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°31'.97'',Longitud :,73°9'9.18'',Altitud :,95 msnm.
,Tipo :,PLU - Meteorológica,Código :,103013
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,,,,0.0
2020-03-02,,,,0.0
2020-03-03,,,,0.0
2020-03-04,,,,0.0
2020-03-05,,,,40.7
2020-03-06,,,,0.0
2020-03-07,,,,0.0
2020-03-08,,,,0.0
2020-03-09,,,,0.0
2020-03-10,,,,0.0
2020-03-11,,,,0.0
2020-03-12,,,,0.0
2020-03-13,,,,0.0
2020-03-14,,,,0.0
2020-03-15,,,,0.0
2020-03-16,,,,0.0
2020-03-17,,,,0.0
2020-03-18,,,,0.0
2020-03-19,,,,0.0
2020-03-20,,,,0.0
2020-03-21,,,,0.0
2020-03-22,,,,0.0
2020-03-23,,,,0.0
2020-03-24,,,,10.2
2020-03-25,,,,0.0
2020-03-26,,,,0.0
2020-03-27,,,,20.7
2020-03-28,,,,20.2
2020-03-29,,,,10.5
2020-03-30,,,,0.6
2020-03-31,,,,0.9
