Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA ROSA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,YAVARI
,Latitud :,4°13'27.05'',Longitud :,69°57'12.6'',Altitud :,63 msnm.
,Tipo :,HLM - Hidrológica,Código :,240108
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-11-01,1.56,1.55,1.54,1.53
2023-11-02,1.44,1.42,1.40,1.38
2023-11-03,1.32,1.30,1.28,1.26
2023-11-04,1.21,1.19,1.17,1.16
2023-11-05,1.10,1.08,1.06,1.04
2023-11-06,0.92,0.90,0.89,0.88
2023-11-07,0.86,0.87,0.88,0.88
2023-11-08,0.94,0.95,0.96,0.96
2023-11-09,1.05,1.07,1.08,1.15
2023-11-10,1.28,1.31,1.35,1.39
2023-11-11,1.54,1.59,1.64,1.70
2023-11-12,1.88,1.94,2.01,2.08
2023-11-13,2.30,2.38,2.46,2.55
2023-11-14,2.81,2.86,2.92,2.97
2023-11-15,3.11,3.28,3.31,3.33
2023-11-16,3.28,3.31,3.33,3.33
2023-11-17,3.35,3.40,3.42,3.44
2023-11-18,3.52,2.57,3.62,3.67
2023-11-19,3.63,3.65,3.66,3.68
2023-11-20,4.09,4.09,4.10,4.10
2023-11-21,4.12,4.12,4.12,4.12
2023-11-22,4.14,4.13,4.13,4.13
2023-11-23,4.13,4.14,4.15,4.17
2023-11-24,4.20,4.21,4.22,4.22
2023-11-25,4.25,4.25,4.25,4.25
2023-11-26,4.25,4.25,4.24,4.23
2023-11-27,4.23,4.21,4.19,4.17
2023-11-28,4.15,4.13,4.12,4.11
2023-11-29,4.08,4.08,4.07,4.06
2023-11-30,4.05,4.05,4.06,4.07
