Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA ROSA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,YAVARI
,Latitud :,4°13'27.05'',Longitud :,69°57'12.6'',Altitud :,63 msnm.
,Tipo :,HLM - Hidrológica,Código :,240108
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-04-01,10.62,10.62,10.63,10.63
2019-04-02,10.64,10.64,10.65,10.65
2019-04-03,10.66,10.66,10.67,10.67
2019-04-04,10.67,10.67,10.68,10.68
2019-04-05,10.69,10.69,10.69,10.69
2019-04-06,10.69,10.69,10.70,10.70
2019-04-07,10.74,10.74,10.75,10.76
2019-04-08,10.76,10.76,10.77,10.77
2019-04-09,10.78,10.78,10.78,10.78
2019-04-10,10.79,10.79,10.79,10.79
2019-04-11,10.80,10.80,10.80,10.80
2019-04-12,10.80,10.80,10.80,10.80
2019-04-13,10.80,10.81,10.82,10.82
2019-04-14,10.84,10.84,10.84,10.84
2019-04-15,10.84,10.84,10.83,10.83
2019-04-16,10.83,10.83,10.82,10.82
2019-04-17,10.81,10.81,10.81,10.81
2019-04-18,10.81,10.81,10.80,10.80
2019-04-19,10.79,10.79,10.79,10.79
2019-04-20,10.79,10.79,70.79,10.79
2019-04-21,10.77,10.77,10.77,10.77
2019-04-22,10.75,10.75,10.75,10.75
2019-04-23,10.74,10.74,10.73,10.72
2019-04-24,10.71,10.71,10.70,10.70
2019-04-25,10.70,10.70,10.70,10.70
2019-04-26,10.70,10.70,10.70,10.70
2019-04-27,10.70,10.70,10.70,10.70
2019-04-28,10.70,10.70,10.69,10.69
2019-04-29,10.69,10.69,10.69,10.69
2019-04-30,10.68,10.68,10.68,10.68
