Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SAN REGIS
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
,Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2023-04-01,12.33,12.33,12.32,12.32
2023-04-02,12.31,12.30,12.30,12.30
2023-04-03,12.30,12.30,12.30,12.31
2023-04-04,12.33,12.33,12.33,12.33
2023-04-05,12.36,12.36,12.36,12.37
2023-04-06,12.37,12.37,12.38,12.38
2023-04-07,12.39,12.40,12.40,12.41
2023-04-08,12.42,12.42,12.42,12.43
2023-04-09,12.44,12.44,12.44,12.45
2023-04-10,12.47,12.48,12.48,12.49
2023-04-11,12.51,12.52,12.52,12.52
2023-04-12,12.53,12.53,12.54,12.55
2023-04-13,12.57,12.58,12.58,12.59
2023-04-14,12.61,12.61,12.62,12.63
2023-04-15,12.64,12.65,12.65,12.66
2023-04-16,12.67,12.67,12.67,12.68
2023-04-17,12.69,12.70,12.71,12.74
2023-04-18,12.75,12.75,12.75,12.75
2023-04-19,12.75,12.76,12.77,12.77
2023-04-20,12.77,12.77,12.77,12.79
2023-04-21,12.81,12.81,12.82,12.82
2023-04-22,12.83,12.83,12.84,12.84
2023-04-23,12.85,12.85,12.85,12.85
2023-04-24,12.86,12.86,12.86,12.86
2023-04-25,12.85,12.85,12.85,12.85
2023-04-26,12.85,12.85,12.85,12.85
2023-04-27,12.85,12.85,12.85,12.85
2023-04-28,12.84,12.84,12.84,12.84
2023-04-29,12.84,12.83,12.82,12.81
2023-04-30,12.79,12.79,12.79,12.79
