Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : MALINOWSKY
,Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,INAMBARI
,Latitud :,12°56'2.8'',Longitud :,69°31'3'',Altitud :,220 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8336C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2020/02/01,00:00,23.9,0.0,97,163,0.2
2020/02/01,01:00,23.5,0.0,97,93,0.3
2020/02/01,02:00,23.1,0.2,97,176,0.1
2020/02/01,03:00,22.8,0.0,98,179,0.1
2020/02/01,04:00,22.5,7.0,99,294,0.1
2020/02/01,05:00,22.3,5.2,100,205,0.1
2020/02/01,06:00,22.3,1.0,100,82,0.1
2020/02/01,07:00,22.3,5.0,100,307,0.1
2020/02/01,08:00,22.1,17.4,100,326,0.2
2020/02/01,09:00,22.2,7.8,100,273,0.1
2020/02/01,10:00,22.7,2.4,100,245,0.0
2020/02/01,11:00,23.1,6.0,100,232,0.0
2020/02/01,12:00,23.6,0.4,100,256,0.2
2020/02/01,13:00,23.7,1.8,100,221,0.1
2020/02/01,14:00,24.2,0.2,100,75,0.1
2020/02/01,15:00,25.0,0.0,99,158,0.1
2020/02/01,16:00,26.1,0.0,95,246,0.1
2020/02/01,17:00,26.8,0.0,93,210,0.2
2020/02/01,18:00,26.7,0.0,91,226,0.0
2020/02/01,19:00,25.5,0.0,96,345,0.0
2020/02/01,20:00,24.3,0.0,99,1,0.0
2020/02/01,21:00,24.1,0.0,99,360,0.0
2020/02/01,22:00,23.9,0.0,99,328,0.0
2020/02/01,23:00,23.9,0.0,100,48,0.0
2020/02/02,00:00,23.9,0.0,99,316,0.0
2020/02/02,01:00,23.7,0.0,100,288,0.0
2020/02/02,02:00,23.9,0.0,100,40,0.0
2020/02/02,03:00,23.8,0.0,99,326,0.0
2020/02/02,04:00,23.5,0.0,99,316,0.0
2020/02/02,05:00,23.1,0.0,100,34,0.0
2020/02/02,06:00,22.8,0.0,100,46,0.0
2020/02/02,07:00,22.7,0.0,100,168,0.0
2020/02/02,08:00,23.2,0.0,99,99,0.1
2020/02/02,09:00,24.7,0.0,94,53,0.2
2020/02/02,10:00,26.7,0.0,89,169,0.1
2020/02/02,11:00,28.5,0.0,83,206,0.2
2020/02/02,12:00,28.2,0.0,85,206,0.1
2020/02/02,13:00,28.5,0.0,85,258,0.2
2020/02/02,14:00,28.3,0.0,85,1,0.1
2020/02/02,15:00,27.5,0.0,88,259,0.1
2020/02/02,16:00,30.8,0.0,77,224,0.3
2020/02/02,17:00,30.4,0.0,76,282,0.2
2020/02/02,18:00,28.5,0.0,86,47,0.0
2020/02/02,19:00,26.9,0.0,94,80,0.0
2020/02/02,20:00,25.8,0.0,97,352,0.0
2020/02/02,21:00,25.2,0.0,99,52,0.0
2020/02/02,22:00,24.9,0.0,99,69,0.0
2020/02/02,23:00,24.8,0.0,99,107,0.0
2020/02/03,00:00,24.7,0.0,99,115,0.1
2020/02/03,01:00,24.7,0.6,99,269,0.0
2020/02/03,02:00,24.4,0.2,99,335,0.0
2020/02/03,03:00,24.4,0.0,99,354,0.0
2020/02/03,04:00,24.1,0.0,100,277,0.0
2020/02/03,05:00,24.1,0.0,100,312,0.0
2020/02/03,06:00,24.0,0.0,100,355,0.0
2020/02/03,07:00,24.0,0.0,100,20,0.0
2020/02/03,08:00,24.4,0.0,99,73,0.1
2020/02/03,09:00,25.6,0.0,96,156,0.2
2020/02/03,10:00,27.6,0.0,89,155,0.5
2020/02/03,11:00,28.9,0.0,84,68,0.3
2020/02/03,12:00,29.7,0.0,81,96,0.5
2020/02/03,22:00,24.8,0.0,100,19,0.0
2020/02/03,23:00,24.6,0.0,100,11,0.0
2020/02/04,00:00,24.4,0.0,100,26,0.0
2020/02/04,01:00,24.2,0.0,100,16,0.1
2020/02/04,02:00,24.1,0.0,100,324,0.0
2020/02/04,06:00,23.4,S/D,100,S/D,S/D
2020/02/05,09:00,24.2,6.4,100,120,0.4
2020/02/06,09:00,S/D,S/D,S/D,S/D,S/D
2020/02/08,19:00,26.8,0.0,95,40,0.0
2020/02/21,07:00,23.3,S/D,100,S/D,S/D
2020/02/28,06:00,23.5,S/D,100,292,0.0
