Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.

,Estación : MALINOWSKY
,Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,INAMBARI
,Latitud :,12°56'2.8'',Longitud :,69°31'3'',Altitud :,220 msnm.
,Tipo :,EMA - Meteorológica,Código :,47E8336C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2019/08/01,00:00,21.3,0.0,98,346,0.0
2019/08/01,01:00,21.0,0.0,98,341,0.0
2019/08/01,02:00,20.6,0.0,98,331,0.0
2019/08/01,03:00,20.3,0.0,98,344,0.0
2019/08/01,04:00,20.0,0.0,98,327,0.0
2019/08/01,05:00,19.7,0.0,98,341,0.0
2019/08/01,06:00,19.6,0.0,98,336,0.0
2019/08/01,07:00,19.9,0.0,98,326,0.0
2019/08/01,08:00,20.2,0.0,98,318,0.0
2019/08/01,09:00,21.4,0.0,98,266,0.0
2019/08/01,10:00,24.3,0.0,91,233,0.4
2019/08/01,11:00,28.0,0.0,78,239,0.5
2019/08/01,12:00,30.4,0.0,67,194,0.5
2019/08/01,13:00,31.3,0.0,64,5,0.3
2019/08/01,14:00,32.2,0.0,61,211,0.4
2019/08/01,18:00,S/D,S/D,S/D,S/D,S/D
2019/08/06,02:00,12.4,0.0,98,329,0.0
2019/08/06,21:00,17.7,0.0,94,360,0.0
2019/08/07,01:00,15.8,0.0,97,346,0.0
2019/08/07,02:00,15.3,0.0,97,336,0.0
2019/08/07,03:00,14.9,0.0,98,330,0.0
2019/08/07,04:00,14.5,0.0,98,352,0.0
2019/08/07,05:00,14.1,0.0,98,339,0.0
2019/08/07,06:00,13.7,0.0,98,331,0.0
2019/08/07,07:00,13.4,0.0,98,328,0.0
2019/08/07,08:00,13.5,0.0,98,313,0.0
2019/08/07,09:00,15.0,0.0,98,258,0.0
2019/08/07,10:00,19.0,0.0,91,231,0.4
2019/08/07,11:00,23.9,0.0,77,206,0.5
2019/08/07,12:00,27.0,0.0,66,199,0.4
2019/08/17,13:00,32.2,0.0,59,155,0.3
2019/08/17,14:00,34.2,0.0,47,336,0.6
2019/08/18,00:00,S/D,S/D,S/D,S/D,S/D
2019/08/19,14:00,32.4,0.0,65,2,0.2
2019/08/20,02:00,S/D,S/D,S/D,96,S/D
2019/08/23,21:00,23.0,0.0,91,39,0.0
2019/08/23,22:00,22.1,0.0,93,338,0.0
2019/08/24,02:00,20.3,0.0,97,1,0.0
2019/08/24,03:00,19.8,0.0,97,334,0.0
2019/08/24,04:00,19.6,0.0,97,325,0.0
2019/08/24,05:00,19.3,0.0,97,339,0.0
2019/08/24,06:00,19.4,S/D,98,318,0.0
2019/08/24,08:00,20.3,0.0,97,320,0.0
2019/08/24,09:00,21.9,0.0,94,260,0.1
2019/08/24,10:00,25.3,0.0,82,238,0.2
2019/08/24,14:00,S/D,S/D,S/D,S/D,S/D
2019/08/24,15:00,33.6,S/D,49,S/D,S/D
2019/08/25,01:00,21.7,0.0,97,349,0.0
2019/08/25,03:00,21.2,0.0,98,8,0.0
2019/08/25,04:00,20.8,S/D,97,340,S/D
2019/08/25,07:00,20.4,S/D,98,292,0.0
2019/08/25,08:00,20.8,0.0,98,254,0.0
2019/08/25,09:00,22.6,0.0,96,187,0.1
2019/08/25,10:00,25.1,S/D,86,129,0.2
2019/08/25,11:00,28.3,0.0,78,216,0.4
2019/08/25,13:00,S/D,S/D,S/D,S/D,S/D
2019/08/25,16:00,32.6,0.0,60,271,0.1
2019/08/26,11:00,27.5,S/D,84,S/D,S/D
2019/08/26,21:00,20.8,0.0,95,33,0.1
2019/08/27,00:00,20.0,S/D,97,47,0.0
2019/08/27,02:00,19.6,S/D,98,308,0.2
2019/08/28,16:00,33.0,S/D,51,263,0.4
2019/08/28,18:00,29.6,0.0,70,345,0.0
2019/08/28,19:00,S/D,S/D,S/D,S/D,S/D
2019/08/28,20:00,25.3,0.0,90,359,0.0
2019/08/28,21:00,24.6,S/D,94,S/D,S/D
2019/08/28,23:00,23.5,0.0,96,45,0.0
2019/08/29,00:00,23.1,0.0,97,348,0.0
2019/08/29,01:00,22.7,0.0,97,349,0.0
2019/08/29,03:00,21.9,0.0,97,352,0.0
2019/08/29,04:00,21.6,0.0,97,353,0.0
2019/08/29,05:00,21.3,0.0,98,309,0.0
2019/08/29,06:00,21.1,0.0,98,283,0.0
2019/08/29,07:00,20.8,0.0,98,286,0.0
2019/08/29,08:00,21.1,0.0,98,311,0.0
2019/08/29,09:00,22.9,0.0,96,45,0.1
2019/08/29,10:00,26.2,0.0,83,234,0.4
2019/08/29,11:00,S/D,S/D,S/D,S/D,S/D
2019/08/29,12:00,32.7,0.0,62,234,0.4
2019/08/29,13:00,33.7,0.0,58,18,0.2
2019/08/29,14:00,34.7,0.0,52,256,0.5
2019/08/29,16:00,33.8,0.0,52,266,0.3
2019/08/29,18:00,S/D,S/D,S/D,S/D,S/D
2019/08/30,20:00,S/D,0.0,S/D,S/D,S/D
2019/08/30,21:00,25.4,S/D,92,358,0.0
2019/08/31,01:00,23.8,0.0,96,30,0.1
2019/08/31,02:00,23.6,0.0,97,344,0.0
2019/08/31,03:00,23.1,0.0,97,2,0.3
2019/08/31,04:00,22.8,0.0,97,337,0.1
2019/08/31,05:00,22.5,0.0,97,350,0.0
2019/08/31,06:00,22.2,0.0,97,351,0.0
2019/08/31,07:00,21.8,0.0,97,340,0.0
2019/08/31,08:00,22.1,0.0,97,273,0.0
