AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2026-02-01,S/D,21.6,94.4,0.0
2026-02-02,S/D,22,90.6,0.0
2026-02-03,S/D,22.5,93.3,10.2
2026-02-04,S/D,23,95.8,20.2
2026-02-05,S/D,22.3,95.2,0.0
2026-02-06,S/D,22.5,89.8,0.0
2026-02-07,S/D,23,91.5,0.0
2026-02-08,S/D,23.2,90.1,0.0
2026-02-09,S/D,22.5,91.3,0.0
2026-02-10,S/D,23,91.7,30.0
2026-02-11,S/D,22.6,91.6,0.0
2026-02-12,S/D,23,91.5,2.6
2026-02-13,S/D,22.5,93.5,105.4
2026-02-14,S/D,23,95.1,4.2
2026-02-15,S/D,22.5,91.2,0.0
2026-02-16,S/D,22.8,93.5,20.7
2026-02-17,S/D,22.6,93.1,78.9
2026-02-18,S/D,22,91.9,0.0
2026-02-19,S/D,22.5,94.6,1.2
2026-02-20,S/D,23,91.9,2.7
2026-02-21,S/D,22.2,93.2,5.5
2026-02-22,S/D,23.6,91.6,0.0
2026-02-23,S/D,23,90.2,0.0
2026-02-24,S/D,23.6,91.3,35.7
2026-02-25,S/D,23,94.8,1.6
2026-02-26,S/D,23.1,93.5,0.0
2026-02-27,S/D,23.4,93.5,0.0
2026-02-28,S/D,24,93.1,0.0
