AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/04/01,00:00,26.0,S/D,93,261,0.7
2025/04/01,01:00,25.1,S/D,94,155,1.2
2025/04/01,02:00,24.4,S/D,97,229,1.8
2025/04/01,03:00,24.8,S/D,100,126,1.5
2025/04/01,04:00,24.7,S/D,100,220,0.9
2025/04/01,05:00,24.3,S/D,100,179,0.2
2025/04/01,06:00,24.2,S/D,100,130,0.0
2025/04/01,07:00,24.7,S/D,100,185,0.4
2025/04/01,08:00,25.5,S/D,94,175,1.8
2025/04/01,09:00,25.1,S/D,96,138,2.7
2025/04/01,10:00,23.7,S/D,100,84,1.1
2025/04/01,11:00,23.7,S/D,100,65,0.3
2025/04/01,12:00,23.8,S/D,100,91,0.2
2025/04/01,13:00,24.6,S/D,99,150,0.9
2025/04/01,14:00,25.4,S/D,89,148,0.6
2025/04/01,15:00,25.8,S/D,89,8,0.6
2025/04/01,16:00,26.1,S/D,89,339,1.1
2025/04/01,17:00,25.9,S/D,89,352,0.0
2025/04/01,18:00,24.9,S/D,95,185,0.0
2025/04/01,19:00,24.3,S/D,100,164,0.0
2025/04/01,20:00,24.0,S/D,100,186,0.0
2025/04/01,21:00,24.1,S/D,100,167,0.1
2025/04/01,22:00,24.1,S/D,100,170,0.5
2025/04/01,23:00,23.9,S/D,100,169,0.4
2025/04/02,00:00,23.7,S/D,100,184,0.0
2025/04/02,01:00,23.6,S/D,100,254,0.6
2025/04/02,02:00,23.4,S/D,100,135,1.6
2025/04/02,03:00,23.5,S/D,100,111,0.0
2025/04/02,04:00,23.3,S/D,100,151,0.1
2025/04/02,05:00,23.3,S/D,100,123,0.2
2025/04/02,06:00,23.5,S/D,100,99,0.7
2025/04/02,07:00,23.5,S/D,100,84,1.0
2025/04/02,08:00,23.6,S/D,98,35,1.2
2025/04/02,09:00,24.1,S/D,96,52,0.9
2025/04/02,10:00,25.0,S/D,93,79,0.8
