Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA MARIA DE NANAY
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,ALTO NANAY
,Latitud :,3°53'20.61'',Longitud :,73°41'46.08'',Altitud :,94 msnm.
,Tipo :,HLM - Hidrológica,Código :,240001
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-06-01,8.40,8.38,8.37,8.35
2018-06-02,8.35,8.34,8.33,8.32
2018-06-03,8.30,8.30,8.30,8.29
2018-06-04,8.31,8.30,8.30,8.29
2018-06-05,8.29,8.28,8.28,8.28
2018-06-06,8.27,8.27,8.28,8.26
2018-06-07,8.26,8.26,8.26,8.25
2018-06-08,8.21,8.21,8.21,8.20
2018-06-09,8.17,8.17,8.16,8.15
2018-06-10,8.12,8.11,8.10,8.09
2018-06-11,8.07,8.06,8.05,8.04
2018-06-12,7.99,7.99,7.99,7.98
2018-06-13,7.95,7.94,7.93,7.90
2018-06-14,7.86,7.84,7.83,7.81
2018-06-15,7.77,7.76,7.75,7.71
2018-06-16,7.68,7.64,7.63,7.58
2018-06-17,7.54,7.53,7.49,7.46
2018-06-18,7.43,7.42,7.40,7.38
2018-06-19,7.35,7.34,7.33,7.27
2018-06-20,7.25,7.24,7.22,7.18
2018-06-21,7.15,7.14,7.13,7.11
2018-06-22,7.07,7.06,7.05,7.03
2018-06-23,6.99,6.99,6.99,6.98
2018-06-24,6.92,6.90,6.88,6.85
2018-06-25,6.77,6.75,6.73,6.70
2018-06-26,6.68,6.63,6.62,6.60
2018-06-27,6.61,6.62,6.63,6.64
2018-06-28,6.66,6.66,6.66,6.67
2018-06-29,6.68,6.67,6.66,6.66
2018-06-30,6.64,6.65,6.65,6.65
