Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA MARIA DE NANAY
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,ALTO NANAY
,Latitud :,3°53'20.61'',Longitud :,73°41'46.08'',Altitud :,94 msnm.
,Tipo :,HLM - Hidrológica,Código :,240001
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2018-07-01,6.66,6.66,6.66,6.67
2018-07-02,6.67,6.67,6.67,6.66
2018-07-03,6.65,6.65,6.64,6.60
2018-07-04,6.58,6.56,6.54,6.52
2018-07-05,6.42,6.40,6.36,6.25
2018-07-06,6.09,5.96,5.90,5.82
2018-07-07,5.75,5.72,5.70,5.68
2018-07-08,5.65,5.63,5.60,5.60
2018-07-09,5.59,5.48,5.46,5.40
2018-07-10,5.35,5.33,5.32,5.30
2018-07-11,5.28,5.28,5.33,5.42
2018-07-12,5.50,5.50,5.51,5.53
2018-07-13,5.53,5.53,5.54,5.55
2018-07-14,5.57,5.60,5.63,5.68
2018-07-15,5.75,5.78,5.82,5.86
2018-07-16,5.94,5.94,5.93,5.93
2018-07-17,5.92,5.90,5.87,5.84
2018-07-18,5.76,5.76,5.75,5.73
2018-07-19,5.71,5.70,5.70,5.71
2018-07-20,5.71,5.73,5.79,5.85
2018-07-21,5.90,5.91,5.93,5.96
2018-07-22,5.99,6.10,6.12,6.16
2018-07-23,6.20,6.23,6.28,6.35
2018-07-24,6.42,6.48,6.56,6.65
2018-07-25,6.70,6.72,6.74,6.78
2018-07-26,6.81,6.81,6.82,6.82
2018-07-27,6.81,6.80,6.78,6.75
2018-07-28,6.73,6.70,6.67,6.60
2018-07-29,6.51,6.48,6.44,6.39
2018-07-30,6.20,6.18,6.16,6.12
2018-07-31,6.08,5.99,5.99,5.97
