Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA MARIA DE NANAY
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,ALTO NANAY
,Latitud :,3°53'20.61'',Longitud :,73°41'46.08'',Altitud :,94 msnm.
,Tipo :,HLM - Hidrológica,Código :,240001
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-09-01,4.49,4.47,4.45,4.44
2020-09-02,4.42,4.40,4.39,4.38
2020-09-03,4.36,4.35,4.34,4.38
2020-09-04,4.30,4.30,4.29,4.28
2020-09-05,4.27,4.25,4.23,4.22
2020-09-06,4.19,4.19,4.17,4.15
2020-09-07,4.11,4.10,4.09,4.07
2020-09-08,4.05,4.04,4.04,4.03
2020-09-09,4.03,4.03,4.05,4.08
2020-09-10,4.09,4.10,4.11,4.13
2020-09-11,4.15,4.18,4.22,4.28
2020-09-12,4.31,4.32,4.35,4.37
2020-09-13,4.39,4.40,4.44,4.45
2020-09-14,4.48,4.49,4.51,4.53
2020-09-15,4.55,4.56,4.58,4.59
2020-09-16,4.60,4.62,4.64,4.66
2020-09-17,4.69,4.70,4.71,4.73
2020-09-18,4.74,4.74,4.75,4.75
2020-09-19,4.76,4.76,4.77,4.77
2020-09-20,4.79,4.80,4.80,4.81
2020-09-21,4.77,4.75,4.73,4.70
2020-09-22,4.68,4.65,4.62,4.71
2020-09-23,4.57,4.53,4.53,4.49
2020-09-24,4.52,4.52,4.54,4.55
2020-09-25,4.56,4.57,4.59,4.59
2020-09-26,4.59,4.63,4.68,4.71
2020-09-27,4.74,4.76,4.59,4.62
2020-09-28,4.76,4.78,4.80,4.86
2020-09-29,4.89,4.92,4.95,4.98
2020-09-30,5.18,5.26,5.31,5.19
