Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : PUCALLPA
,Departamento :,UCAYALI,Provincia :,CORONEL PORTILLO,Distrito :,CALLARIA
,Latitud :,8°24'47.62'',Longitud :,74°34'18.67'',Altitud :,162 msnm.
,Tipo :,CP - Meteorológica,Código :,108021
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-01-01,32.2,23,70.3,0.0
2019-01-02,31.2,22.8,87.0,0.0
2019-01-03,31.4,22,83.7,0.0
2019-01-04,32.8,22.4,79.9,0.2
2019-01-05,32.4,23.4,86.6,0.0
2019-01-06,32.6,22.4,79.7,0.0
2019-01-07,32.8,23.8,81.6,0.0
2019-01-08,27,S/D,S/D,48.4
2019-01-09,31.8,20.8,77.4,0.0
2019-01-10,31.2,22.2,85.8,7.1
2019-01-11,24.8,S/D,S/D,93.3
2019-01-12,27.4,21,85.6,0.0
2019-01-13,30.8,22.4,88.9,0.0
2019-01-14,31,23.2,82.1,1.4
2019-01-15,29.2,23.8,S/D,24.1
2019-01-16,31,22.8,89.2,0.3
2019-01-17,30.8,S/D,85.3,15.2
2019-01-18,29.2,20.4,91.8,0.0
2019-01-19,32.2,22,78.1,0.0
2019-01-20,29.6,S/D,S/D,27.0
2019-01-21,30.2,21.6,89.9,0.5
2019-01-22,28.8,23,94.3,5.0
2019-01-23,29.2,22.8,94.3,11.3
2019-01-24,32.2,23.2,87.0,0.0
2019-01-25,26.6,23.4,S/D,8.9
2019-01-26,32.8,22.4,78.6,0.0
2019-01-27,34,23,84.6,0.5
2019-01-28,25.8,24.2,S/D,77.8
2019-01-29,31.2,22.2,83.5,0.0
2019-01-30,31,24,83.7,7.8
2019-01-31,30.8,23,83.6,0.4
