AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-06-01,S/D,S/D,80.0,0.0
2024-06-02,S/D,S/D,85.1,0.0
2024-06-03,S/D,S/D,85.4,3.2
2024-06-04,S/D,S/D,88.2,22.4
2024-06-05,S/D,S/D,87.5,2.4
2024-06-06,S/D,S/D,83.3,0.0
2024-06-07,S/D,S/D,89.5,0.0
2024-06-08,S/D,S/D,90.4,23.9
2024-06-09,S/D,S/D,87.9,10.5
2024-06-10,S/D,S/D,88.4,0.0
2024-06-11,S/D,S/D,90.3,0.0
2024-06-12,S/D,S/D,90.1,5.2
2024-06-13,S/D,S/D,87.8,2.8
2024-06-14,S/D,S/D,87.3,3.4
2024-06-15,S/D,S/D,79.6,0.0
2024-06-16,S/D,S/D,87.5,0.0
2024-06-17,S/D,S/D,79.7,0.0
2024-06-18,S/D,S/D,79.1,0.0
2024-06-19,S/D,S/D,84.6,2.5
2024-06-20,S/D,S/D,88.4,9.4
2024-06-21,S/D,S/D,90.1,2.6
2024-06-22,S/D,S/D,77.2,0.0
2024-06-23,S/D,S/D,82.1,0.0
2024-06-24,S/D,S/D,83.4,0.0
2024-06-25,S/D,S/D,87.0,0.0
2024-06-26,S/D,S/D,86.5,0.0
2024-06-27,S/D,S/D,83.6,34.8
2024-06-28,S/D,S/D,80.9,0.0
2024-06-29,S/D,S/D,83.6,0.0
2024-06-30,S/D,S/D,87.5,26.8
